Homepage,ED,EG,G,D,C,O,P,EU
0,12,0,1,0,2,3,18,13
1,17,1,1,0,7,1,20,12
2,10,1,2,0,2,5,16,7
3,15,0,2,0,4,1,20,11
4,17,2,2,0,3,1,20,16
5,15,0,2,0,3,4,17,11
6,18,0,1,0,2,1,20,15
7,14,2,2,0,3,4,17,11
8,17,0,2,0,1,4,17,15
9,12,2,1,0,2,7,14,12
10,17,1,2,0,3,1,20,15
11,16,0,2,0,1,1,20,17
12,20,0,1,0,1,0,21,20
13,17,0,2,0,1,1,20,18
14,9,1,0,1,1,9,12,8
15,13,1,0,0,2,3,18,13
16,17,0,1,0,6,2,19,16
17,17,0,0,0,5,1,20,17
18,14,2,0,0,6,0,21,14
19,14,0,1,1,9,1,20,16
20,16,0,0,0,2,3,18,17
21,18,1,0,0,3,1,20,17
22,12,1,1,1,8,2,19,13
23,11,0,1,0,8,3,18,18
24,11,1,1,0,1,6,15,8
25,14,0,0,0,1,6,15,16
26,20,1,0,0,3,0,21,17
27,20,0,0,0,2,1,20,18
28,19,0,1,0,5,1,20,18
29,16,1,1,0,4,2,19,14
30,11,1,1,1,4,6,15,11
31,16,0,2,0,4,3,18,16
32,14,1,3,1,3,2,19,14
33,8,0,0,0,6,7,13,8
34,18,0,1,0,4,2,19,18
35,11,0,2,0,0,8,13,11
36,19,0,2,0,2,2,19,14
37,17,1,2,0,6,1,20,13
38,7,1,2,0,1,8,13,5
39,7,1,0,0,0,11,10,5
40,12,1,2,1,3,2,19,11
41,11,0,3,1,2,5,16,14
42,7,0,0,0,1,12,9,5
43,5,2,0,0,1,13,8,4
44,6,1,0,0,1,11,9,2
45,0,0,0,0,1,17,1,0
46,1,0,0,0,1,17,3,2
47,2,0,0,0,0,18,2,0
48,2,0,0,0,0,18,2,0
49,2,0,0,0,0,16,4,2
50,2,0,0,0,1,15,3,0
51,0,0,0,0,0,20,0,0
52,0,0,1,0,1,16,3,3
53,1,0,0,0,0,19,1,0
54,3,0,0,0,0,16,3,1
55,0,0,0,0,0,20,1,0
56,1,0,0,0,0,19,2,3
57,2,0,1,0,0,18,3,1
58,3,0,0,0,1,17,4,1
59,0,0,0,0,1,20,1,1
60,1,0,0,0,0,18,3,3
61,2,0,0,0,2,17,4,1
62,3,0,0,0,1,15,6,1
63,5,0,0,0,1,16,5,3
64,16,0,1,0,3,3,18,15
65,11,0,2,1,0,6,15,13
66,6,0,1,0,3,10,11,7
67,5,0,0,2,5,8,13,9
68,7,0,0,0,2,12,9,13
69,2,0,0,0,0,17,4,4
70,2,1,1,0,3,14,7,4
71,4,0,0,0,1,13,8,5
72,1,0,0,0,0,19,2,1
73,2,0,0,0,2,15,6,4
74,0,0,0,0,1,16,5,6
75,1,0,0,0,2,16,5,3
76,4,0,0,0,2,14,7,7
77,3,0,0,0,2,12,9,6
78,1,0,0,0,2,16,5,9
79,4,0,1,0,4,11,10,5
80,3,0,0,0,3,13,8,8
81,7,1,0,0,1,7,14,10
82,11,1,0,0,1,5,16,11
83,8,1,0,0,2,7,14,13
84,11,1,0,0,3,6,15,9
85,15,0,0,0,5,3,18,16
86,13,0,3,1,5,4,17,19
87,8,0,4,1,5,6,15,16
88,8,0,6,0,6,4,17,15
89,3,0,1,0,9,9,12,12
90,5,2,0,1,2,10,11,5
91,10,0,0,1,3,7,14,8
92,7,0,0,0,1,12,9,3
93,3,0,0,0,1,15,6,0
94,3,0,1,0,0,15,6,4
95,2,0,0,0,2,15,6,3
96,3,1,0,0,0,17,4,2
97,5,1,1,0,2,14,7,5
98,6,0,0,1,1,12,9,7
99,5,0,1,1,2,13,7,4
100,3,0,0,0,0,17,4,2
101,3,0,0,0,1,15,6,7
102,2,0,0,0,1,12,9,3
103,5,0,1,0,1,11,10,7
104,4,0,1,1,3,13,8,10
105,8,0,3,0,5,8,13,12
106,6,0,1,2,5,9,12,12
107,3,0,0,0,1,15,6,5
108,10,0,2,1,5,5,16,14
109,7,0,1,0,5,8,13,13
110,4,0,0,0,3,15,6,10
111,7,0,1,1,4,8,13,11
112,6,0,1,0,7,8,12,10
113,5,0,0,1,4,10,11,8
114,5,0,1,0,3,14,7,8
115,6,1,1,0,4,11,10,6
116,6,0,4,1,6,6,14,11
117,9,0,1,0,5,7,14,12
total,961,37,93,23,298,1088,1369,1048
