Total,ED,EG,G,D,C,O,P,EU
0,13,0,1,0,2,3,19,14
1,18,1,1,0,8,1,21,13
2,11,1,2,0,3,5,17,8
3,16,0,2,0,4,1,21,12
4,18,2,2,0,3,1,21,17
5,16,0,2,0,3,4,18,12
6,19,0,1,0,2,1,21,16
7,15,2,2,0,3,4,18,12
8,18,0,2,0,1,4,18,16
9,13,2,1,0,2,7,15,13
10,18,1,2,0,3,1,21,16
11,17,0,2,0,1,1,21,18
12,21,0,1,0,1,0,22,21
13,18,0,2,0,1,1,21,19
14,10,1,0,1,1,9,13,9
15,14,1,0,0,2,3,19,14
16,18,0,1,0,7,2,20,17
17,18,0,0,0,5,1,21,18
18,15,2,0,0,6,0,22,15
19,14,0,1,1,10,1,21,17
20,17,0,0,0,2,3,19,18
21,19,1,0,0,3,1,21,18
22,13,1,1,1,9,2,20,14
23,12,0,1,0,9,3,19,19
24,12,1,1,0,1,6,16,9
25,15,0,0,0,1,6,16,17
26,21,1,0,0,3,0,22,18
27,21,0,0,0,2,1,21,19
28,20,0,1,0,6,1,21,19
29,17,1,1,0,4,2,20,15
30,12,1,1,1,5,6,16,12
31,17,0,2,0,4,3,19,17
32,15,1,4,1,3,2,20,15
33,8,0,0,0,7,7,14,9
34,19,0,1,0,4,2,20,19
35,12,0,2,0,0,8,14,12
36,27,0,2,0,4,34,29,24
37,23,1,2,0,7,22,29,20
38,13,1,2,0,3,29,22,13
39,11,1,0,0,3,36,18,12
40,20,1,2,1,8,33,34,22
41,20,0,3,1,6,34,34,24
42,12,0,1,0,5,41,22,13
43,11,2,0,0,5,42,21,13
44,12,1,0,0,2,39,17,8
45,4,1,0,0,1,47,7,3
46,5,0,0,0,1,48,8,4
47,6,0,0,0,2,47,8,1
48,8,1,0,0,1,44,11,2
49,4,0,0,0,0,43,7,5
50,5,0,0,0,1,47,6,1
51,2,0,0,0,0,53,3,2
52,3,0,2,0,1,49,6,4
53,2,0,0,0,2,51,5,1
54,4,0,0,0,2,48,7,2
55,1,0,0,0,0,53,4,2
56,2,0,0,0,0,53,4,4
57,5,0,1,0,3,50,7,4
58,7,0,0,0,2,48,9,3
59,5,0,1,0,2,49,7,4
60,4,0,0,0,1,50,7,6
61,5,0,0,0,3,49,8,3
62,5,0,0,0,1,48,9,4
63,7,0,0,0,1,49,8,4
64,23,1,1,0,5,30,27,20
65,15,1,2,1,0,29,23,17
66,11,0,1,0,3,39,18,10
67,8,0,1,2,7,32,20,13
68,15,0,0,0,5,24,21,20
69,5,1,1,0,1,34,10,8
70,6,1,1,0,4,32,13,7
71,12,0,1,0,4,27,18,9
72,5,0,0,0,2,37,8,5
73,5,0,0,0,2,34,11,8
74,5,0,0,0,3,49,15,14
75,6,0,0,0,5,36,16,11
76,6,0,0,0,5,37,15,15
77,5,0,0,0,4,32,20,12
78,3,1,1,0,7,38,19,20
79,6,1,2,0,4,28,18,9
80,8,0,0,0,4,31,15,13
81,11,2,0,0,3,23,23,18
82,17,1,0,0,4,16,24,16
83,14,1,0,0,3,24,22,19
84,17,1,1,0,3,25,21,16
85,25,2,2,1,6,15,31,25
86,18,1,5,2,5,20,26,27
87,18,0,4,1,7,17,29,24
88,17,0,8,0,10,14,32,23
89,9,0,3,0,12,23,23,23
90,10,2,0,1,3,27,19,13
91,17,2,0,1,3,20,25,14
92,16,0,1,0,4,26,20,13
93,11,0,1,2,3,30,16,7
94,9,0,1,0,1,28,18,10
95,10,0,2,1,2,29,17,9
96,8,1,1,0,0,36,10,6
97,11,1,2,0,3,33,13,10
98,11,0,1,1,2,32,14,13
99,7,0,1,1,2,34,11,8
100,7,0,1,1,1,33,13,7
101,7,0,1,0,2,34,12,11
102,5,0,1,2,2,27,18,7
103,9,0,1,0,2,28,18,13
104,8,0,1,2,6,29,17,17
105,13,0,5,0,7,23,23,17
106,9,0,1,3,8,26,20,19
107,10,0,0,0,3,29,17,11
108,15,1,2,2,9,21,25,23
109,12,0,2,0,9,27,25,24
110,6,0,1,0,6,37,15,20
111,9,0,2,1,9,29,23,20
112,9,0,2,0,10,32,19,19
113,12,1,0,1,8,24,22,15
114,11,0,1,0,6,31,15,14
115,14,1,2,0,5,28,18,12
116,10,0,6,1,9,23,22,17
117,13,0,1,0,7,23,23,19
total,1382,52,130,34,448,2884,2071,1545
