Homepage,ED,EG,G,D,C,O,P,EU
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,3,0,0,0,2,18,7,3
10,4,1,0,0,1,19,6,5
11,6,0,1,0,2,13,12,4
12,6,0,0,0,1,16,9,5
13,5,0,0,0,0,18,7,3
14,6,0,1,0,1,13,12,4
15,5,0,1,0,2,13,12,4
16,4,0,1,1,0,15,10,4
17,2,0,1,0,0,17,8,3
18,2,0,0,0,3,20,5,2
19,3,0,0,1,0,17,8,2
20,3,0,1,0,0,16,9,2
21,3,0,0,1,1,18,7,0
22,2,0,0,1,1,19,6,0
23,1,0,0,1,0,21,4,1
24,2,1,1,0,0,17,8,2
25,2,0,1,0,1,15,10,2
26,4,0,0,1,1,17,8,0
27,1,0,2,0,1,15,10,3
28,3,0,0,0,2,19,6,2
29,2,0,1,1,1,16,9,3
30,2,1,1,0,1,19,6,1
31,1,0,0,0,1,21,4,1
32,3,0,1,0,1,17,8,3
33,2,0,0,0,2,21,4,1
34,1,0,0,0,1,22,3,0
35,1,0,1,0,3,15,10,2
36,3,0,0,0,1,19,6,1
37,2,1,0,0,1,18,7,1
38,1,1,1,0,1,16,9,2
39,3,0,0,0,1,18,7,2
40,4,0,0,1,1,16,9,4
41,3,0,0,0,1,17,8,1
42,3,0,0,0,1,19,6,2
43,2,0,0,0,1,18,7,2
44,2,1,0,0,1,18,7,3
45,1,0,0,0,1,20,5,2
46,3,0,0,0,1,18,7,2
47,1,1,0,0,3,16,9,4
48,2,0,0,0,1,19,6,2
49,2,1,0,1,2,18,7,2
50,3,1,0,1,3,14,11,5
51,2,0,0,0,1,19,6,2
52,2,0,0,0,1,18,7,3
53,1,1,0,0,2,19,6,3
54,2,0,0,0,1,21,4,1
55,3,0,0,0,2,20,5,1
56,2,0,0,1,1,21,4,1
57,3,1,1,0,1,19,6,1
58,1,1,0,0,3,19,6,2
59,1,0,0,0,1,19,6,3
60,3,0,0,1,1,19,6,1
61,1,1,0,0,3,18,7,2
62,1,0,0,0,1,21,4,2
63,1,0,0,1,1,20,5,3
64,4,0,0,0,1,18,7,3
65,3,0,0,0,1,19,6,2
66,4,0,0,0,2,16,9,4
67,2,0,0,0,1,18,7,2
68,3,0,0,1,1,15,10,3
69,4,0,0,0,2,15,10,3
70,3,0,0,1,3,18,7,2
71,3,0,0,0,1,18,7,1
72,2,0,0,0,2,19,6,1
73,3,0,0,0,1,18,7,2
74,3,0,0,0,1,18,7,3
75,3,0,0,0,2,17,8,2
76,1,1,0,0,1,20,5,3
77,3,0,0,0,1,18,7,4
78,1,0,0,0,3,17,8,2
79,3,2,0,0,1,16,9,2
80,1,0,0,0,1,22,3,1
81,2,0,0,0,2,20,5,3
82,2,0,0,0,1,21,4,1
83,2,0,0,0,1,21,4,1
84,1,0,0,0,1,22,3,1
85,2,0,0,0,1,20,5,1
86,2,0,0,0,1,19,6,2
87,2,0,0,0,1,20,5,1
88,1,0,1,0,2,20,5,2
89,1,0,0,0,2,20,5,2
90,1,0,1,0,1,19,6,1
91,1,0,0,0,1,18,7,2
92,4,0,0,0,1,18,7,2
93,0,0,0,0,0,0,0,0
total :,204,16,18,15,108,1524,576,181
