Regular,ED,EG,G,D,C,O,P,EU
0,15,0,1,0,4,1,21,14
1,19,4,2,1,8,1,21,17
2,11,2,1,0,4,3,19,10
3,13,1,2,2,3,2,20,17
4,16,0,1,0,1,3,19,17
5,21,1,2,0,2,1,21,16
6,18,2,1,0,1,1,21,15
7,11,3,2,0,2,3,19,11
8,17,2,2,0,6,2,20,17
9,12,2,2,0,2,5,17,14
10,17,1,2,0,4,1,21,17
11,18,1,1,1,4,3,19,18
12,18,0,0,1,2,2,20,18
13,16,0,2,0,5,3,19,18
14,16,2,2,0,3,1,21,16
15,13,1,2,0,2,3,19,15
16,13,2,0,0,12,2,20,18
17,15,0,1,0,3,4,18,17
18,14,0,0,0,3,1,21,17
19,13,0,1,0,8,3,19,17
20,18,1,0,0,9,2,20,16
21,18,0,1,0,3,3,19,16
22,15,0,2,0,8,2,20,17
23,14,1,1,0,10,0,22,22
24,15,0,2,0,2,4,18,15
25,14,1,0,0,3,6,16,16
26,20,0,1,0,3,1,21,20
27,19,0,2,0,3,0,22,19
28,17,2,1,0,8,1,21,19
29,9,0,1,0,8,5,17,15
30,10,0,4,0,10,2,20,18
31,18,0,3,0,6,0,22,19
32,17,2,4,0,6,1,21,18
33,17,0,2,0,1,2,20,15
34,19,1,1,0,8,0,22,21
35,16,2,0,0,9,2,20,16
36,3,0,2,0,12,4,18,16
37,3,0,1,0,10,3,19,18
38,11,0,2,0,10,5,17,15
39,0,0,1,0,5,11,11,10
40,0,0,1,0,2,15,7,6
41,1,0,0,0,2,16,6,5
42,5,0,1,0,2,14,8,7
43,1,0,0,0,2,16,6,4
44,0,0,0,0,0,18,4,4
45,1,0,1,0,3,14,8,8
46,1,0,0,0,1,15,7,7
47,0,0,0,0,2,13,9,8
48,1,0,0,0,4,10,12,11
49,0,0,0,0,3,7,15,15
50,1,0,0,0,3,14,8,8
51,0,0,0,0,4,11,11,10
52,2,0,1,0,2,9,13,9
53,3,0,0,0,2,15,7,3
54,3,0,1,0,4,14,8,7
55,2,0,1,0,2,15,7,4
56,0,0,0,0,1,12,10,7
57,3,0,0,0,7,8,14,13
58,8,0,0,0,2,9,13,10
59,11,0,0,0,4,5,17,12
60,8,0,1,0,6,9,13,8
61,6,1,0,0,3,11,11,9
62,5,0,1,0,13,4,18,16
63,5,1,0,0,6,5,17,10
64,4,0,1,0,3,7,15,13
65,5,0,1,0,12,5,17,15
66,6,0,0,1,7,8,14,10
67,13,0,1,0,4,6,16,14
68,3,0,1,4,4,10,12,7
69,2,1,3,0,0,15,7,4
70,4,0,1,0,1,17,5,4
71,2,0,1,1,2,16,6,4
72,1,0,2,0,0,19,3,2
73,1,1,2,1,1,16,6,4
74,2,0,0,1,1,18,4,0
75,4,1,0,1,2,14,7,5
76,2,0,0,0,0,18,3,1
77,1,0,1,1,1,18,4,2
78,4,0,0,0,1,17,5,3
79,0,1,0,0,1,19,3,0
80,0,0,0,0,0,20,2,0
81,1,1,1,1,0,17,5,0
82,0,0,0,0,0,22,0,0
83,0,0,0,1,0,21,1,0
84,1,0,0,0,2,19,3,1
85,2,0,1,0,0,19,3,1
86,2,0,0,0,0,20,2,2
87,1,1,1,1,0,18,4,0
88,2,2,1,0,3,15,7,1
89,7,2,1,1,3,10,12,2
90,2,1,1,1,4,14,8,3
91,1,1,0,0,5,13,9,3
92,1,1,1,0,1,18,4,1
93,6,1,1,0,4,8,14,9
94,7,1,2,0,4,10,12,10
95,1,0,1,0,4,14,8,8
96,1,0,2,0,2,14,8,8
97,5,0,0,0,2,12,10,8
98,1,0,2,0,2,13,9,9
99,7,0,1,1,2,10,12,8
100,8,0,1,0,3,11,11,11
101,8,0,1,1,0,12,10,6
102,3,0,1,0,3,15,7,7
103,5,0,1,1,2,14,8,5
104,8,1,2,0,3,10,12,7
105,8,0,1,0,3,11,11,10
106,9,0,0,0,2,11,11,8
107,1,0,2,0,1,17,5,5
108,6,0,1,0,1,13,9,6
109,5,0,1,0,3,13,9,9
110,3,1,1,0,4,13,9,9
111,6,0,1,1,2,13,9,8
112,8,0,1,0,3,10,12,8
113,6,0,2,0,3,11,11,10
114,9,0,2,0,2,10,12,7
115,2,0,1,0,2,17,5,3
116,9,2,2,0,1,10,12,8
117,4,0,2,0,3,14,8,8
118,2,0,1,2,5,11,11,9
119,3,0,1,0,3,15,7,7
120,2,0,1,1,1,16,6,4
121,7,0,1,0,3,11,11,11
122,2,0,1,0,1,17,5,4
123,4,0,1,0,3,13,9,8
124,6,1,1,0,4,10,12,6
125,2,0,2,0,3,14,8,6
126,3,1,1,0,3,13,9,8
127,4,0,1,1,5,12,10,9
128,4,0,1,0,3,14,8,8
129,1,0,1,0,2,18,4,3
130,4,0,2,0,3,11,11,10
131,3,0,1,0,2,16,6,6
132,1,0,1,0,1,19,3,3
133,3,0,2,0,2,15,7,7
134,2,0,1,1,2,15,7,6
135,5,0,1,0,1,15,7,7
136,1,0,1,0,4,15,7,7
137,3,0,1,0,3,14,8,8
138,1,0,1,0,1,19,3,3
139,2,0,1,0,3,15,7,7
140,3,0,1,0,3,15,7,7
141,1,0,2,0,3,14,8,7
142,6,0,1,0,4,12,10,10
143,3,0,1,0,3,15,7,7
total :,934,57,149,29,483,1507,1659,1336
