Total,ED,EG,G,D,C,O,P,EU
0,4,1,0,18,3,14,28,23
1,0,1,1,24,2,11,31,24
2,9,0,1,14,5,9,33,17
3,7,3,4,17,2,11,31,22
4,11,2,1,1,3,14,28,13
5,7,0,1,20,4,9,33,24
6,4,2,5,14,2,14,28,16
7,2,0,1,6,1,7,15,11
8,5,3,1,26,2,6,36,28
9,0,2,2,29,3,5,37,30
10,2,1,1,16,2,4,18,17
11,1,2,1,12,0,8,14,12
12,15,3,8,4,6,8,34,23
13,4,0,1,16,3,3,19,17
14,9,0,2,5,0,10,12,10
15,1,0,2,8,2,11,11,8
16,2,1,0,12,2,1,21,21
17,2,0,1,10,11,2,20,18
18,5,2,5,25,4,45,43,35
19,6,1,0,1,5,29,34,21
20,15,1,2,2,5,29,34,22
21,11,7,3,6,6,35,48,34
22,15,2,3,5,5,34,37,30
23,13,3,3,5,5,25,45,36
24,8,1,1,3,4,29,46,39
25,7,1,3,4,4,43,33,24
26,8,2,0,3,1,30,46,33
27,2,0,1,3,0,33,38,31
28,2,1,1,0,2,28,27,11
29,4,1,0,2,1,38,36,8
30,1,0,0,0,2,25,25,6
31,3,1,0,2,0,33,24,7
32,2,1,0,2,2,25,38,11
33,4,2,1,4,2,49,34,15
34,1,0,0,0,1,28,11,4
35,1,0,0,1,1,45,24,9
36,2,0,1,3,1,37,32,9
37,4,1,0,0,1,33,36,9
38,2,0,0,1,2,18,27,8
39,3,1,0,3,3,25,39,11
40,1,0,0,1,2,33,31,5
41,7,2,1,1,4,23,37,11
42,2,1,0,1,2,17,28,6
43,1,1,0,1,3,13,32,3
44,1,1,1,1,1,33,37,10
45,2,1,0,2,3,45,39,8
46,1,0,1,1,2,12,28,5
47,4,3,0,3,3,49,41,13
48,2,0,0,2,4,37,34,8
49,0,0,0,1,2,20,20,3
50,3,2,0,1,3,36,34,6
51,1,0,1,4,3,31,45,12
52,1,1,0,3,2,40,32,10
53,0,0,0,0,2,26,26,6
54,1,0,1,2,1,24,28,9
55,3,0,0,4,6,28,36,11
56,3,2,0,1,1,16,24,5
57,1,0,0,3,3,31,36,10
58,1,2,0,0,1,37,36,5
59,2,0,0,0,1,18,22,1
60,1,0,0,1,2,32,38,7
61,2,0,0,1,3,15,25,1
62,1,0,0,1,1,19,21,3
63,4,0,1,0,2,17,23,3
64,5,0,0,0,3,43,41,10
65,1,0,0,1,1,14,26,9
66,1,1,0,1,2,30,30,6
67,1,2,0,1,2,20,25,4
68,0,0,0,0,1,21,19,3
69,1,0,1,0,0,28,32,12
70,0,2,0,0,1,39,31,7
71,0,1,0,1,1,38,32,6
72,0,0,0,2,1,14,26,3
73,0,0,0,2,2,48,42,11
74,0,0,0,1,0,43,27,8
75,1,0,1,1,4,21,24,2
76,0,0,0,1,1,29,31,6
77,1,1,0,0,1,50,40,17
78,1,0,0,0,3,57,33,9
79,0,0,1,0,3,21,38,8
80,1,0,0,0,2,36,29,5
81,1,1,1,1,4,38,51,11
82,0,0,0,0,0,30,30,9
83,0,2,1,1,3,43,46,12
84,0,0,0,0,2,55,41,8
85,0,0,1,0,3,24,27,12
86,0,0,0,0,1,36,36,13
87,0,0,1,1,1,29,41,11
88,1,1,0,2,1,47,43,14
89,1,0,1,0,1,36,47,12
90,1,0,0,0,1,45,45,12
91,0,0,1,1,1,27,32,9
92,1,1,0,1,0,35,30,8
93,0,0,1,0,1,27,32,9
94,0,0,0,1,0,31,29,8
95,1,1,1,0,4,45,43,13
96,1,0,0,1,1,30,30,11
97,0,0,1,1,1,29,30,8
98,0,0,0,0,0,47,43,12
99,1,0,1,1,4,44,45,12
100,1,0,0,1,0,33,27,10
101,0,0,0,0,1,32,27,6
102,0,0,0,1,1,28,32,8
103,0,0,1,1,2,43,46,13
104,0,0,0,0,0,28,32,8
105,0,1,1,0,2,47,42,12
106,0,0,0,1,0,55,35,12
107,0,1,0,1,1,47,41,9
108,1,0,0,0,2,31,29,6
109,1,0,0,0,2,28,31,5
110,0,0,0,0,0,20,22,7
total :,273,80,78,389,235,3157,3570,1334
total stats for watched video :,4,1,1,17,2,33,78,46
