url,title,author,type,insertionDate,refreshNB,watchTime,actionNB,videoViewsNB,parent_id,ED,EG,G,D,C,P,EU,O
wzGgpUSi6sU,Quel président ? François-Xavier Bellamy répond,EP République,regular,2024-05-11T19:10:55.497Z,,180000,0,1,,0,0,0,1,0,1,1,0
oqY0yIUXIlY,"
          
          
          
          
            François-Xavier Bellamy invité dans « Le Grand RDV » Europe1-CNEWS-Les Échos
          
        ",François-Xavier Bellamy,proposal,2024-05-11T19:10:56.214Z,,0,0,1,wzGgpUSi6sU,0,0,0,1,0,1,1,0
roJTjxC6Q6w,"
          
          
          
          
            François-Xavier BELLAMY - Rencontres Littéraires « Les Idées mènent le Monde » à Pau - 2018
          
        ",Ville de Pau,proposal,2024-05-11T19:10:56.225Z,,0,0,1,wzGgpUSi6sU,0,0,0,1,0,1,1,0
tiejxvMUWt4,"
          
          
          
          
            L’ Interview : Bernard Pivot - Stupéfiant !
          
        ",Stupéfiant !,proposal,2024-05-11T19:10:56.232Z,,0,0,1,wzGgpUSi6sU,0,0,0,0,0,0,0,1
PrGEgiF6cDw,"
          
          
          
          
            🔴 FX BELLAMY RÉPOND EN DIRECT
          
        ",François-Xavier Bellamy,proposal,2024-05-11T19:10:56.238Z,,0,0,1,wzGgpUSi6sU,0,0,0,1,0,1,1,0
WbzRBNpMsyE,"
          
          
          
          
            Conférence ISEGORIA-François-Xavier BELLAMY-21 mars 2018
          
        ",audenciatv,proposal,2024-05-11T19:10:56.244Z,,0,0,1,wzGgpUSi6sU,0,0,0,1,0,1,1,0
3BThfAONAxQ,"
          
          
          
          
            Bellamy votera pour Eric Zemmour en cas de duel face à Macron au second tour
          
        ",Europe 1,proposal,2024-05-11T19:10:56.252Z,,0,0,1,wzGgpUSi6sU,1,0,0,1,1,1,1,0
URwP1y4vvZA,"
          
          
          
          
            Les 4 vérités - François-Xavier Bellamy
          
        ",Télé Matin,proposal,2024-05-11T19:10:56.257Z,,0,0,1,wzGgpUSi6sU,0,0,0,1,0,1,1,0
_xaQo86CyDE,"
          
          
          
          
            Échanges tendus entre Louis Boyard et François-Xavier Bellamy (7 mai 2024, Paris, France) [4K]
          
        ",CLPRESS / Agence de presse,proposal,2024-05-11T19:10:56.264Z,,0,0,1,wzGgpUSi6sU,0,1,0,1,0,1,1,0
NIZuGrbPY48,"
          
          
          
          
            Kharkiv : le début d’une opération majeure russe ?
          
        ",LCI,proposal,2024-05-11T19:10:56.270Z,,0,0,1,wzGgpUSi6sU,0,0,0,0,0,1,0,0
H70r5A6-R98,"
          
          
          
          
            Elections européennes : François-Xavier Bellamy (LR) vote | AFP Images
          
        ",AFP,proposal,2024-05-11T19:10:56.275Z,,0,0,1,wzGgpUSi6sU,0,0,0,1,0,1,1,0
LeCgE9Jni-4,"
          
          
          
          
            Vladimir Poutine menace lEurope - Reportage #cdanslair 08.05.2024
          
        ",C dans lair,proposal,2024-05-11T19:10:56.283Z,,0,0,1,wzGgpUSi6sU,0,0,0,0,0,1,1,0
lIAqJ9xEiFk,"
          
          
          
          
            François-Xavier Bellamy, le rêve de revanche d’un « faux gentil »
          
        ",Le Point,proposal,2024-05-11T19:10:56.289Z,,0,0,1,wzGgpUSi6sU,0,0,0,1,0,1,1,0
rNQUJf58f2g,"
          
          
          
          
            Philippe Etchebest, un chef toujours au top ! - #QuelleEpoque 9 mars
          
        ",Quelle époque !,proposal,2024-05-11T19:10:56.297Z,,0,0,1,wzGgpUSi6sU,0,0,0,0,0,0,0,1
zgGjaGHFIYA,"
          
          
          
          
            François-Xavier Bellamy : Quelles sont les qualités de Gabriel Attal pour entrer à Matignon ?
          
        ",Europe 1,proposal,2024-05-11T19:10:56.302Z,,0,0,1,wzGgpUSi6sU,0,0,0,1,1,1,1,0
mN-sK4M4f-I,"
          
          
          
          
            Les imitations de Laurent Gerra, crise de rires assurée ! - Vivement Dimanche 23 avril 2023
          
        ",Vivement Dimanche ,proposal,2024-05-11T19:10:56.307Z,,0,0,1,wzGgpUSi6sU,0,0,0,0,0,0,0,1
6uv5RzB8BX8,"
          
          
          
          
            L’ancien NAZI piégé par un journaliste en pleine interview (1972) - HDG #18
          
        ",Mamytwink,proposal,2024-05-11T19:10:56.315Z,,0,0,1,wzGgpUSi6sU,0,0,0,0,0,1,0,0
zIxuYURvAIE,"
          
          
          
          
            On regarde les moments les plus fous de Cash Investigation avec Élise Lucet
          
        ",france tv,proposal,2024-05-11T19:10:56.322Z,,0,0,1,wzGgpUSi6sU,0,0,0,0,0,0,0,1
CuLw6Wynp3A,"
          
          
          
          
            Européennes : LR choisit François-Xavier Bellamy comme tête de liste
          
        ",Public Sénat,proposal,2024-05-11T19:10:56.328Z,,0,0,1,wzGgpUSi6sU,0,0,0,1,0,1,1,0
-_nhjmLeGYw,"
          
          
          
          
            Dunkerque - 360° Vidéo Expérience - Gardez Votre Souffle
          
        ",Warner Bros. France,proposal,2024-05-11T19:10:56.333Z,,0,0,1,wzGgpUSi6sU,0,0,0,0,0,0,0,1
SCDHPfQwcwA,"
          
          
          
          
            François-Xavier Bellamy, maire-adjoint de Versailles : Certaines communes sont parfois obligées…
          
        ",Europe 1,proposal,2024-05-11T19:10:56.339Z,,0,0,1,wzGgpUSi6sU,0,0,0,1,0,1,1,0
vdS2BYVsPv8,"
          
          
          
          
            Éric Zemmour lève la main sur une femme à Ajaccio : Cest de la légitime défense (Sarah Knafo)
          
        ",Europe 1,proposal,2024-05-11T19:10:56.346Z,,0,0,1,wzGgpUSi6sU,1,0,0,0,0,1,1,0
sJLQbMNkPp8,"
          
          
          
          
            François-Xavier Bellamy : Lerreur du moment est de croire que tout changement est un progrès
          
        ",FRANCE 24,proposal,2024-05-11T19:10:56.352Z,,0,0,1,wzGgpUSi6sU,0,0,0,1,0,1,1,0
kdGV_8DvJCs,"
          
          
          
          
            Affaire Guillaume Meurice : jusquoù peut-on aller par humour ? • FRANCE 24
          
        ",FRANCE 24,proposal,2024-05-11T19:10:56.358Z,,0,0,1,wzGgpUSi6sU,0,0,0,0,0,0,0,1
CLcwWLrLBxg,"
          
          
          
          
            Francois-Xavier Bellamy la nouvelle star de la droite
          
        ",Les Terriens,proposal,2024-05-11T19:10:56.366Z,,0,0,1,wzGgpUSi6sU,0,0,0,1,0,1,1,0
q9GAahkTLME,"
          
          
          
          
            Mineurs délinquants, Russie, Sciences Po… lintégralité de linterview de Marine Le Pen
          
        ",BFMTV,proposal,2024-05-11T19:10:56.372Z,,0,0,1,wzGgpUSi6sU,1,0,0,0,0,1,0,0
TmIVC9AGTuo,"
          
          
          
          
            Jordan Bardella : LEurope doit mettre fin à une forme de naïveté à légard de la mondialisation
          
        ",France Inter,proposal,2024-05-11T19:10:56.378Z,,0,0,1,wzGgpUSi6sU,1,0,0,0,0,1,1,0
