name,author,ED,EG,D,G,C,P,EU,O
Européennes: Bardella a-t-il tué le match ?,BFMTV,1,0,0,0,0,1,1,0
Débat G. Attal / J. Bardella - Replay du 20H de TF1,Le Figaro,1,0,1,1,0,1,1,0
Européennes: le premier débat entre Jordan Bardella et Valérie Hayer en intégralité,Public Sénat,1,0,0,0,1,1,1,0
Jordan Bardella : L Europe doit mettre fin à une forme de naïveté à l égard de la mondialisation,BFMTV,1,0,0,0,0,1,1,0
L union fait la France !,Le Figaro,1,0,0,0,0,1,1,0
Jordan Bardella IMPLACABLE sur l insécurité ! | Apolline Matin,Le Figaro,1,0,0,0,0,1,1,0
🔴 EN DIRECT - Jordan Bardella face aux Grandes Gueules,Public Sénat,1,0,0,0,0,1,1,0
🔴 DIRECT - L intégrale de l interview de Jordan Bardella,Télé Matin,1,0,0,0,0,1,1,0
Jordan Bardella répond à Eric Dupond-Moretti sur le tacle à Marine Le Pen !,Le Figaro,1,0,0,0,0,1,1,0
"Jordan Bardella face à Pascal Praud : Drame de Crépol, traitement médiatique, vie privée...",BFMTV,1,0,0,0,0,1,1,0
Européennes: l intégralité du discours de Jordan Bardella lors du lancement de la campagne du RN,Le Figaro,1,0,0,0,0,1,1,0
Jordan Bardella : quel bilan au Parlement européen ? - C à vous,Télé Matin,1,0,0,0,0,1,1,0
Jordan Bardella : Il faut mettre en place une politique dissuasive d immigration,Public Sénat,1,0,0,0,0,1,1,0
Jordan Bardella : quel bilan au Parlement européen ? - C à vous,Le Figaro,1,0,0,0,0,1,1,0
Suivez en direct le lancement de la campagne des européennes avec Marine Le Pen et Jordan Bardella,BFMTV,1,0,0,0,0,1,1,0
Conférence de presse : présentation des axes de campagne.,TF1 INFO,1,0,0,0,0,1,1,0
Jordan Bardella interpelle Emmanuel Macron au Parlement européen !,France Inter,1,0,0,0,0,1,1,0
Jordan Bardella : L Union Européenne menace les intérêts de la France,BFMTV,1,0,0,0,0,1,1,0
Débat des européennes : tous contre Bardella,RMC,1,0,0,0,0,1,1,0
Européennes : les cinq astuces rhétoriques de Jordan Bardella,RMC,1,0,0,0,0,1,1,0
La réponse de Jordan Bardella à Éric Dupond-Moretti : Il se comporte comme un chef de gang,Le Figaro,1,0,0,0,0,1,1,0
"Chaque attentat est une bataille qui est perdue, dénonce Jordan Bardella invité du 20H de TF1",LCI,1,0,0,0,0,1,1,0
Guillaume Bigot - Débat face à Jordan Bardella : C était un naufrage pour Valérie Hayer,Le Figaro,1,0,0,0,1,1,1,0
Jordan Bardella a-t-il réussi le test face à Valérie Hayer ?,Public Sénat,1,0,0,0,1,1,1,0
"AFFAIRE NAHEL : UNE FRANCE EN PLEINE GUERRE CIVILE ? JORDAN BARDELLA, PRÉSIDENT DU RN, RÉPOND",Apolline Matin,1,0,0,0,0,1,1,0
Le face-à-face virulent entre Yassine Belattar et Jordan Bardella dans Balance Ton Post,LCI,1,0,0,0,0,1,1,0
Face-à-Face : Jordan Bardella,Le Figaro,1,0,0,0,0,1,1,0
Jordan Bardella : Pourquoi il les dépasse ?,Apolline Matin,1,0,0,0,0,1,1,0
Jordan Bardella critique ouvertement Emmanuel Macron !,LCI,1,0,0,0,0,1,1,0
Un débat entre Jordan Bardella et Gabriel Attal aura lieu sur France 2 jeudi 23 mai,Le Figaro,1,0,0,0,1,1,1,0
Européennes : Bardella et Hayer s affrontent sur fond de questions européennes et d immigration,Apolline Matin,1,0,0,0,1,1,1,0
"Jordan Bardella au zénith dans les sondages : Trop haut, trop tôt ?",France Inter,1,0,0,0,0,1,1,0
Européennes: suivez le grand débat entre Jordan Bardella et Manuel Valls,Le Figaro,1,0,0,1,0,1,1,0
"La France d abord, l Europe ensuite : Jordan Bardella invité du 20H",France Inter,1,0,0,1,0,1,1,0
Raphaël Glucksmann : On fait la même erreur avec Xi Jinping qu avec Vladimir Poutine,BFMTV,0,0,0,1,0,1,1,0
Le président chinois Xi Jinping en France : Il ne faut pas le traiter en ami,Public Sénat,0,0,0,1,0,1,1,0
La France est à la traîne sur l aide à l Ukraine : l interview en intégralité de Raphaël Glucksmann,Télé Matin,0,0,0,1,0,1,1,0
Raphaël Glucksmann : Le gouvernement Netanyahou n offre aucune perspective aux palestiniens,Le Figaro,0,0,0,1,0,1,1,0
"GLUCKSMANN CHAHUTÉ, MÉLENCHON ACCUSÉ : IL Y A T-IL « DEUX GAUCHES »IRRÉCONCILIABLES ?",LCI,0,1,0,1,0,1,1,0
Le président chinois Xi Jinping en France : Il ne faut pas le traiter en ami.,Apolline Matin,0,0,0,1,0,1,1,0
"GAZA, PARIS EST AVEC TOI : AU-DELÀ DE LA POLÉMIQUE GLUCKSMANN, LE VRAI VISAGE DU DÉFILÉ DU 1ER MAI",Europe 1,0,0,0,1,0,1,1,0
"Raphaël Glucksmann, socialiste isolé en Europe - Patrick Cohen - C à vous - 02/05/2024",Europe 1,0,0,0,1,0,1,1,0
R.Glucksmann répond à Tom Benoit en direct à propos de l’utilisation de l’épargne privée par l’UE,Le Figaro,0,0,0,1,0,1,1,0
Face aux Territoires » avec Raphaël Glucksmann,RMC,0,0,0,1,0,1,1,0
"Bardella, Glucksmann : les visages souriants de l’anti-macronisme",France Inter,1,0,0,1,0,1,1,0
Européennes : bientôt Glucksmann devant Hayer ?,Le Figaro,0,0,0,1,0,1,1,0
Sciences Po : Raphaël Glucksmann veut une évacuation des étudiants ! | Apolline Matin,Télé Matin,0,0,0,1,0,1,1,0
Européennes : Raphaël Glucksmann talonne Valérie Hayer,RMC,0,0,0,1,1,1,1,0
