url,title,author,type,insertionDate,refreshNB,watchTime,actionNB,videoViewsNB,parent_id
wzGgpUSi6sU,Quel président ? François-Xavier Bellamy répond,EP République,regular,2024-05-11T19:10:55.497Z,,180000,0,1,
oqY0yIUXIlY,"
          
          
          
          
            François-Xavier Bellamy invité dans « Le Grand RDV » Europe1-CNEWS-Les Échos
          
        ",François-Xavier Bellamy,proposal,2024-05-11T19:10:56.214Z,,0,0,1,wzGgpUSi6sU
roJTjxC6Q6w,"
          
          
          
          
            François-Xavier BELLAMY - Rencontres Littéraires « Les Idées mènent le Monde » à Pau - 2018
          
        ",Ville de Pau,proposal,2024-05-11T19:10:56.225Z,,0,0,1,wzGgpUSi6sU
tiejxvMUWt4,"
          
          
          
          
            L’ Interview : Bernard Pivot - Stupéfiant !
          
        ",Stupéfiant !,proposal,2024-05-11T19:10:56.232Z,,0,0,1,wzGgpUSi6sU
PrGEgiF6cDw,"
          
          
          
          
            🔴 FX BELLAMY RÉPOND EN DIRECT
          
        ",François-Xavier Bellamy,proposal,2024-05-11T19:10:56.238Z,,0,0,1,wzGgpUSi6sU
WbzRBNpMsyE,"
          
          
          
          
            Conférence ISEGORIA-François-Xavier BELLAMY-21 mars 2018
          
        ",audenciatv,proposal,2024-05-11T19:10:56.244Z,,0,0,1,wzGgpUSi6sU
3BThfAONAxQ,"
          
          
          
          
            Bellamy votera pour Eric Zemmour en cas de duel face à Macron au second tour
          
        ",Europe 1,proposal,2024-05-11T19:10:56.252Z,,0,0,1,wzGgpUSi6sU
URwP1y4vvZA,"
          
          
          
          
            Les 4 vérités - François-Xavier Bellamy
          
        ",Télé Matin,proposal,2024-05-11T19:10:56.257Z,,0,0,1,wzGgpUSi6sU
_xaQo86CyDE,"
          
          
          
          
            Échanges tendus entre Louis Boyard et François-Xavier Bellamy (7 mai 2024, Paris, France) [4K]
          
        ",CLPRESS / Agence de presse,proposal,2024-05-11T19:10:56.264Z,,0,0,1,wzGgpUSi6sU
NIZuGrbPY48,"
          
          
          
          
            Kharkiv : le début d’une opération majeure russe ?
          
        ",LCI,proposal,2024-05-11T19:10:56.270Z,,0,0,1,wzGgpUSi6sU
H70r5A6-R98,"
          
          
          
          
            Elections européennes : François-Xavier Bellamy (LR) vote | AFP Images
          
        ",AFP,proposal,2024-05-11T19:10:56.275Z,,0,0,1,wzGgpUSi6sU
LeCgE9Jni-4,"
          
          
          
          
            Vladimir Poutine menace lEurope - Reportage #cdanslair 08.05.2024
          
        ",C dans lair,proposal,2024-05-11T19:10:56.283Z,,0,0,1,wzGgpUSi6sU
lIAqJ9xEiFk,"
          
          
          
          
            François-Xavier Bellamy, le rêve de revanche d’un « faux gentil »
          
        ",Le Point,proposal,2024-05-11T19:10:56.289Z,,0,0,1,wzGgpUSi6sU
rNQUJf58f2g,"
          
          
          
          
            Philippe Etchebest, un chef toujours au top ! - #QuelleEpoque 9 mars
          
        ",Quelle époque !,proposal,2024-05-11T19:10:56.297Z,,0,0,1,wzGgpUSi6sU
zgGjaGHFIYA,"
          
          
          
          
            François-Xavier Bellamy : Quelles sont les qualités de Gabriel Attal pour entrer à Matignon ?
          
        ",Europe 1,proposal,2024-05-11T19:10:56.302Z,,0,0,1,wzGgpUSi6sU
mN-sK4M4f-I,"
          
          
          
          
            Les imitations de Laurent Gerra, crise de rires assurée ! - Vivement Dimanche 23 avril 2023
          
        ",Vivement Dimanche ,proposal,2024-05-11T19:10:56.307Z,,0,0,1,wzGgpUSi6sU
6uv5RzB8BX8,"
          
          
          
          
            L’ancien NAZI piégé par un journaliste en pleine interview (1972) - HDG #18
          
        ",Mamytwink,proposal,2024-05-11T19:10:56.315Z,,0,0,1,wzGgpUSi6sU
zIxuYURvAIE,"
          
          
          
          
            On regarde les moments les plus fous de Cash Investigation avec Élise Lucet
          
        ",france tv,proposal,2024-05-11T19:10:56.322Z,,0,0,1,wzGgpUSi6sU
CuLw6Wynp3A,"
          
          
          
          
            Européennes : LR choisit François-Xavier Bellamy comme tête de liste
          
        ",Public Sénat,proposal,2024-05-11T19:10:56.328Z,,0,0,1,wzGgpUSi6sU
-_nhjmLeGYw,"
          
          
          
          
            Dunkerque - 360° Vidéo Expérience - Gardez Votre Souffle
          
        ",Warner Bros. France,proposal,2024-05-11T19:10:56.333Z,,0,0,1,wzGgpUSi6sU
SCDHPfQwcwA,"
          
          
          
          
            François-Xavier Bellamy, maire-adjoint de Versailles : Certaines communes sont parfois obligées…
          
        ",Europe 1,proposal,2024-05-11T19:10:56.339Z,,0,0,1,wzGgpUSi6sU
vdS2BYVsPv8,"
          
          
          
          
            Éric Zemmour lève la main sur une femme à Ajaccio : Cest de la légitime défense (Sarah Knafo)
          
        ",Europe 1,proposal,2024-05-11T19:10:56.346Z,,0,0,1,wzGgpUSi6sU
sJLQbMNkPp8,"
          
          
          
          
            François-Xavier Bellamy : Lerreur du moment est de croire que tout changement est un progrès
          
        ",FRANCE 24,proposal,2024-05-11T19:10:56.352Z,,0,0,1,wzGgpUSi6sU
kdGV_8DvJCs,"
          
          
          
          
            Affaire Guillaume Meurice : jusquoù peut-on aller par humour ? • FRANCE 24
          
        ",FRANCE 24,proposal,2024-05-11T19:10:56.358Z,,0,0,1,wzGgpUSi6sU
CLcwWLrLBxg,"
          
          
          
          
            Francois-Xavier Bellamy la nouvelle star de la droite
          
        ",Les Terriens,proposal,2024-05-11T19:10:56.366Z,,0,0,1,wzGgpUSi6sU
q9GAahkTLME,"
          
          
          
          
            Mineurs délinquants, Russie, Sciences Po… lintégralité de linterview de Marine Le Pen
          
        ",BFMTV,proposal,2024-05-11T19:10:56.372Z,,0,0,1,wzGgpUSi6sU
TmIVC9AGTuo,"
          
          
          
          
            Jordan Bardella : LEurope doit mettre fin à une forme de naïveté à légard de la mondialisation
          
        ",France Inter,proposal,2024-05-11T19:10:56.378Z,,0,0,1,wzGgpUSi6sU
rT-qjKal_9Q,"
          
          
          
          
            Israël, cest pire que la Russie: linterview intégrale de Rima Hassan sur BFMTV
          
        ",BFMTV,proposal,2024-05-11T19:10:56.385Z,,0,0,1,wzGgpUSi6sU
ezTymdoQ2xw,"
          
          
          
          
            Suisse ? - Pourquoi la Suisse est pétée de thunes ?
          
        ",52 minutes,proposal,2024-05-11T19:10:56.391Z,,0,0,1,wzGgpUSi6sU
2237v_tTvsQ,"
          
          
          
          
            International : que pèse encore la France ?
          
        ",Public Sénat,proposal,2024-05-11T19:10:56.398Z,,0,0,1,wzGgpUSi6sU
muZQqoQhbME,"
          
          
          
          
            Gad Elmaleh - Retour au Maroc - Marrakech du rire 2017
          
        ",Marrakech du rire,proposal,2024-05-11T19:10:56.405Z,,0,0,1,wzGgpUSi6sU
AoUz6F6Q5Hc,"
          
          
          
          
            LHeure des Pros : On est bien obligé de parler avec la Chine
          
        ",Europe 1,proposal,2024-05-11T19:10:56.411Z,,0,0,1,wzGgpUSi6sU
2eRsM9vS8hw,"
          
          
          
          
            Le Grand Jury - Européennes : le grand débat (lintégrale)
          
        ",RTL  ,proposal,2024-05-11T19:10:56.418Z,,0,0,1,wzGgpUSi6sU
paS5MwfMbC8,"
          
          
          
          
            Top 10 BEST GOLDEN BUZZER Singers on Got Talent 2023!
          
        ",Top 10 Talent,proposal,2024-05-11T19:10:56.424Z,,0,0,1,wzGgpUSi6sU
I9HZ_F0QP7I,"
          
          
          
          
            François-Xavier Bellamy est linvité dAli Baddou
          
        ",France Inter,proposal,2024-05-11T19:10:56.430Z,,0,0,1,wzGgpUSi6sU
N8RvEg0iSWE,"
          
          
          
          
            Les enjeux de la rencontre entre Xi Jinping et Emmanuel Macron qui fait polémique
          
        ",HugoDécrypte - Actus du jour,proposal,2024-05-11T19:10:56.435Z,,0,0,1,wzGgpUSi6sU
w5CslM4-qWA,"
          
          
          
          
            Geolier, Ultimo - LULTIMA POESIA (Official Video)
          
        ",Geôlier2 OFFICIAL,proposal,2024-05-11T19:10:56.440Z,,0,0,1,wzGgpUSi6sU
TsHgPVxncxI,"
          
          
          
          
            Pour Gérard Lanvin, cest une époque minable et il explique pourquoi
          
        ",Real Life ▸ Portraits & Témoignages,proposal,2024-05-11T19:10:56.449Z,,0,0,1,wzGgpUSi6sU
MDypA56Uvq0,"
          
          
          
          
            François-Xavier Bellamy, Grand Invité de la Matinale, présente son ouvrage Demeure
          
        ",RCF Radio,proposal,2024-05-11T19:10:56.454Z,,0,0,1,wzGgpUSi6sU
nrDKaAmynnw,"
          
          
          
          
            Dominique Tapie : les confessions sur sa vie de couple avec Bernard Tapie
          
        ",Real Life ▸ Portraits & Témoignages,proposal,2024-05-11T19:10:56.459Z,,0,0,1,wzGgpUSi6sU
Pp3YRq4I-b0,"
          
          
          
          
            Super stratégies | Le génie caché des plantes (2/2) | ARTE
          
        ",ARTE,proposal,2024-05-11T19:10:56.467Z,,0,0,1,wzGgpUSi6sU
sJLQbMNkPp8,François-Xavier Bellamy : Lerreur du moment est de croire que tout changement est un progrès,FRANCE 24,regular,2024-05-11T19:14:00.773Z,,180000,1,2,
roJTjxC6Q6w,"
          
          
          
          
            François-Xavier BELLAMY - Rencontres Littéraires « Les Idées mènent le Monde » à Pau - 2018
          
        ",Ville de Pau,proposal,2024-05-11T19:14:01.579Z,,0,1,2,sJLQbMNkPp8
__MFNY5k-uQ,"
          
          
          
          
            Sierra Leone, the rage to live | The roads of the impossible
          
        ",Les Routes de limpossible,proposal,2024-05-11T19:14:01.625Z,,0,1,2,sJLQbMNkPp8
kdGV_8DvJCs,"
          
          
          
          
            Affaire Guillaume Meurice : jusquoù peut-on aller par humour ? • FRANCE 24
          
        ",FRANCE 24,proposal,2024-05-11T19:14:01.630Z,,0,1,2,sJLQbMNkPp8
ttps://www.youtube.com/shorts/4-O_F_97nSE,"
          
          
          
          
            Être de droite et débattre à la Sorbonne
          
        ",François-Xavier Bellamy,proposal,2024-05-11T19:14:01.639Z,,0,1,2,sJLQbMNkPp8
cYYHvJfQx44,"
          
          
          
          
            Cameroon: The Resourceful of the Jungle | The roads of the impossible
          
        ",Les Routes de limpossible,proposal,2024-05-11T19:14:01.643Z,,0,1,2,sJLQbMNkPp8
WIW0f6yvVw0,"
          
          
          
          
            Poutine, la haine de lOccident
          
        ",BFMTV,proposal,2024-05-11T19:14:01.648Z,,0,1,2,sJLQbMNkPp8
gb9ceei1Z7o,"
          
          
          
          
            Qatar, une dynastie à la conquête du monde | ARTE
          
        ",ARTE,proposal,2024-05-11T19:14:01.654Z,,0,1,2,sJLQbMNkPp8
WbzRBNpMsyE,"
          
          
          
          
            Conférence ISEGORIA-François-Xavier BELLAMY-21 mars 2018
          
        ",audenciatv,proposal,2024-05-11T19:14:01.661Z,,0,1,2,sJLQbMNkPp8
uykRIXTYspw,"
          
          
          
          
            Mali : de deux à cinq ans supplémentaires de régime militaire • FRANCE 24
          
        ",FRANCE 24,proposal,2024-05-11T19:14:01.667Z,,0,1,2,sJLQbMNkPp8
nxPpvbQqXuE,"
          
          
          
          
            Quest devenu le tout premier Influvoleur ?
          
        ",Simon Puech,proposal,2024-05-11T19:14:01.673Z,,0,1,2,sJLQbMNkPp8
Rxbt1JWGj0U,"
          
          
          
          
            Sanctions américaines contre Israël : la marque dun désaveu des États-Unis ? • FRANCE 24
          
        ",FRANCE 24,proposal,2024-05-11T19:14:01.679Z,,0,1,2,sJLQbMNkPp8
P-FJhRYGKH4,"
          
          
          
          
            Comment l’État d’Israël fut-il créé ? [QdH#58]
          
        ",Questions dHistoire,proposal,2024-05-11T19:14:01.685Z,,0,1,2,sJLQbMNkPp8
ttps://www.youtube.com/shorts/7nLbDOGqfVM,"
          
          
          
          
            La droite et la gauche
          
        ",François-Xavier Bellamy,proposal,2024-05-11T19:14:01.691Z,,0,1,2,sJLQbMNkPp8
BLFqsPdunwI,"
          
          
          
          
            Espionnage chinois en Suisse
          
        ",Mise au Point,proposal,2024-05-11T19:14:01.697Z,,0,1,2,sJLQbMNkPp8
3GVF3tcsenU,"
          
          
          
          
            Ukraine : une offensive russe imminente contre Kharkiv ? • FRANCE 24
          
        ",FRANCE 24,proposal,2024-05-11T19:14:01.705Z,,0,1,2,sJLQbMNkPp8
U1Shn9GCmwQ,"
          
          
          
          
            Zouhir Lahna, médecin à Rafah : Normalement, en temps de guerre, les civils peuvent sortir
          
        ",FRANCE 24,proposal,2024-05-11T19:14:01.710Z,,0,1,2,sJLQbMNkPp8
UUdIiMOC260,"
          
          
          
          
            Tout comprendre sur le conflit Israélo-Palestinien !
          
        ",Histoire Géo,proposal,2024-05-11T19:14:01.714Z,,0,1,2,sJLQbMNkPp8
7cKCPDm5uac,"
          
          
          
          
            Blocages à Sciences Po : François-Xavier Bellamy invité de Cyril HANOUNA
          
        ",François-Xavier Bellamy,proposal,2024-05-11T19:14:01.720Z,,0,1,2,sJLQbMNkPp8
xGWeVo9z_YQ,"
          
          
          
          
            La véritable histoire de Nicolas Sarkozy
          
        ",Gaspard G,proposal,2024-05-11T19:14:01.727Z,,0,1,2,sJLQbMNkPp8
yTPgJrECFSA,"
          
          
          
          
            LEstonie prête à miner la mer Baltique
          
        ",LCI,proposal,2024-05-11T19:14:01.733Z,,0,1,2,sJLQbMNkPp8
pU-3kMdTL8A,"
          
          
          
          
            Bellamy : le pari de la Droite catho #cdanslair 29.01.2019
          
        ",C dans lair,proposal,2024-05-11T19:14:01.739Z,,0,1,2,sJLQbMNkPp8
Lm5xL8fbcmk,"
          
          
          
          
            [🇨🇵💪] LE RAFALE PROPULSE LA FRANCE AU 2ème RANG DES VENDEURS DARMES
          
        ",Xavier Tytelman,proposal,2024-05-11T19:14:01.744Z,,0,1,2,sJLQbMNkPp8
XgqR3HHV7kE,"
          
          
          
          
            Le Grand Oral de François-Xavier Bellamy (Partie 2) - Les Grandes Gueules de RMC
          
        ",RMC,proposal,2024-05-11T19:14:01.748Z,,0,1,2,sJLQbMNkPp8
ciMbhq9qmCk,"
          
          
          
          
            Invité : François-Xavier Bellamy - Audition publique (25/02/2019)
          
        ",Public Sénat,proposal,2024-05-11T19:14:01.755Z,,0,1,2,sJLQbMNkPp8
CLcwWLrLBxg,"
          
          
          
          
            Francois-Xavier Bellamy la nouvelle star de la droite
          
        ",Les Terriens,proposal,2024-05-11T19:14:01.761Z,,0,1,2,sJLQbMNkPp8
3ZZFwlzN1Os,"
          
          
          
          
            François-Xavier Bellamy : L’Europe doit maîtriser ses frontières
          
        ",France Inter,proposal,2024-05-11T19:14:01.766Z,,0,1,2,sJLQbMNkPp8
MDypA56Uvq0,"
          
          
          
          
            François-Xavier Bellamy, Grand Invité de la Matinale, présente son ouvrage Demeure
          
        ",RCF Radio,proposal,2024-05-11T19:14:01.772Z,,0,1,2,sJLQbMNkPp8
ttps://www.youtube.com/shorts/K-JOYNe86Ak,"
          
          
          
          
            Une petite erreur de calcul 💶
          
        ",François-Xavier Bellamy,proposal,2024-05-11T19:14:01.777Z,,0,1,2,sJLQbMNkPp8
sXjG3l_LfiI,"
          
          
          
          
            Amateur de philosophie et tête de liste des Républicains, qui est François-Xavier Bellamy ?
          
        ",BFMTV,proposal,2024-05-11T19:14:01.782Z,,0,1,2,sJLQbMNkPp8
S0GTlQBrpUM,"
          
          
          
          
            François-Xavier Bellamy : « La réponse d’E. Macron sur les séparatismes est dangereuse »
          
        ",Public Sénat,proposal,2024-05-11T19:14:01.788Z,,0,1,2,sJLQbMNkPp8
JebgoLlI3YA,"
          
          
          
          
            François-Xavier Bellamy, invité de RTL
          
        ",RTL  ,proposal,2024-05-11T19:14:01.795Z,,0,1,2,sJLQbMNkPp8
Czjown6UmH8,"
          
          
          
          
            Luc Ferry et FX Bellamy invités de Radio Classique & Le Figaro
          
        ",François-Xavier Bellamy,proposal,2024-05-11T19:14:01.800Z,,0,1,2,sJLQbMNkPp8
h9cQVUOWZHs,"
          
          
          
          
            Le Talk de FX Bellamy: «Le gouvernement est défaillant pour maintenir et rétablir lordre»
          
        ",Le Figaro,proposal,2024-05-11T19:14:01.808Z,,0,1,2,sJLQbMNkPp8
VtVztp6KavE,"
          
          
          
          
            Débat François-Xavier Bellamy / Jacques Attali: les racines de la civilisation européenne
          
        ",Les Éveilleurs,proposal,2024-05-11T19:14:01.815Z,,0,1,2,sJLQbMNkPp8
gTv-K8vRzfM,"
          
          
          
          
            LEsprit Public, 21 janvier 2018
          
        ",François-Xavier Bellamy,proposal,2024-05-11T19:14:01.820Z,,0,1,2,sJLQbMNkPp8
YotJrbnZCgo,"
          
          
          
          
            Boyard et Bellamy : cest show show à Sciences Po
          
        ",Pure Politique,proposal,2024-05-11T19:14:01.824Z,,0,1,2,sJLQbMNkPp8
7PkEjeveTPQ,"
          
          
          
          
            LCI sur le terrain : la percée russe en images
          
        ",LCI,proposal,2024-05-11T19:14:01.829Z,,0,1,2,sJLQbMNkPp8
D_7Bu1Eg2o8,"
          
          
          
          
            FX Bellamy invité de LCI après son investiture comme tête de liste de lélection européenne 2019
          
        ",François-Xavier Bellamy,proposal,2024-05-11T19:14:01.832Z,,0,1,2,sJLQbMNkPp8
DSmTw-_gt0w,"
          
          
          
          
            Conférence de Francois-Xavier BELLAMY
          
        ",Université Hommes-Entreprises,proposal,2024-05-11T19:14:01.838Z,,0,1,2,sJLQbMNkPp8
rT-qjKal_9Q,"
          
          
          
          
            Israël, cest pire que la Russie: linterview intégrale de Rima Hassan sur BFMTV
          
        ",BFMTV,proposal,2024-05-11T19:14:01.843Z,,0,1,2,sJLQbMNkPp8
nW6oi4ur4rE,Lutte contre limmigration illégale : Un scandale démocratique révoltant,François-Xavier Bellamy,regular,2024-05-11T19:17:06.089Z,,180000,2,3,
oqY0yIUXIlY,"
          
          
          
          
            François-Xavier Bellamy invité dans « Le Grand RDV » Europe1-CNEWS-Les Échos
          
        ",François-Xavier Bellamy,proposal,2024-05-11T19:17:07.097Z,,0,2,3,nW6oi4ur4rE
_39GhkNaOCU,"
          
          
          
          
            Gérard Darmon à François-Xavier Bellamy: Vous avez peur de tout ! #ONPC
          
        ",On nest pas couché,proposal,2024-05-11T19:17:07.114Z,,0,2,3,nW6oi4ur4rE
-T4biBo8zp4,"
          
          
          
          
            Élections européennes : le raz-de-marée annoncé de l’extrême droite ? - 28 Minutes - ARTE
          
        ",28 minutes - ARTE,proposal,2024-05-11T19:17:07.121Z,,0,2,3,nW6oi4ur4rE
9bIWUaNOP2I,"
          
          
          
          
            GUERRE À GAZA : l’assemblée générale de l’ONU vote en faveur d’une adhésion de la Palestine
          
        ",TV5MONDE Info,proposal,2024-05-11T19:17:07.127Z,,0,2,3,nW6oi4ur4rE
4Kftid4ouA0,"
          
          
          
          
            Corée du Nord, Gérard Depardieu, Sciences Po... Yann Moix est linvité du Face à Face
          
        ",BFMTV,proposal,2024-05-11T19:17:07.133Z,,0,2,3,nW6oi4ur4rE
Lr4MkdL243M,"
          
          
          
          
            Face à linsécurité, rétablir la justice et reconstruire léducation
          
        ",François-Xavier Bellamy,proposal,2024-05-11T19:17:07.138Z,,0,2,3,nW6oi4ur4rE
IGYwVKNLTgo,"
          
          
          
          
            La lutte contre limmigration clandestine à Mayotte
          
        ",franceinfo,proposal,2024-05-11T19:17:07.144Z,,0,2,3,nW6oi4ur4rE
Kq28AKD3HWs,"
          
          
          
          
            Former presidents: a royal lifestyle?
          
        ",BLING !,proposal,2024-05-11T19:17:07.149Z,,0,2,3,nW6oi4ur4rE
lu7a-kIzk1Q,"
          
          
          
          
            Ils ont connu le jeune Emmanuel Macron, ils témoignent
          
        ",France 3 Hauts-de-France,proposal,2024-05-11T19:17:07.154Z,,0,2,3,nW6oi4ur4rE
rT-qjKal_9Q,"
          
          
          
          
            Israël, cest pire que la Russie: linterview intégrale de Rima Hassan sur BFMTV
          
        ",BFMTV,proposal,2024-05-11T19:17:07.159Z,,0,2,3,nW6oi4ur4rE
vdS2BYVsPv8,"
          
          
          
          
            Éric Zemmour lève la main sur une femme à Ajaccio : Cest de la légitime défense (Sarah Knafo)
          
        ",Europe 1,proposal,2024-05-11T19:17:07.164Z,,0,2,3,nW6oi4ur4rE
oeyoEXL1x_Q,"
          
          
          
          
            François Asselineau : Les sujets les plus graves ne sont pas traités dans cette campagne
          
        ",Europe 1,proposal,2024-05-11T19:17:07.169Z,,0,2,3,nW6oi4ur4rE
IS8Dg9skpCk,"
          
          
          
          
            Ludovic Giuly, ex-footballeur international, raconte sa descente aux enfers
          
        ",Touche pas à mon poste !,proposal,2024-05-11T19:17:07.175Z,,0,2,3,nW6oi4ur4rE
ttps://www.youtube.com/shorts/4-O_F_97nSE,"
          
          
          
          
            Être de droite et débattre à la Sorbonne
          
        ",François-Xavier Bellamy,proposal,2024-05-11T19:17:07.179Z,,0,2,3,nW6oi4ur4rE
7PkEjeveTPQ,"
          
          
          
          
            LCI sur le terrain : la percée russe en images
          
        ",LCI,proposal,2024-05-11T19:17:07.184Z,,0,2,3,nW6oi4ur4rE
hn-dw977wGQ,"
          
          
          
          
            Le secret qui a fait exploser la droite
          
        ",Documentaire Société,proposal,2024-05-11T19:17:07.189Z,,0,2,3,nW6oi4ur4rE
