url,title,author,type,insertionDate,refreshNB,watchTime,actionNB,videoViewsNB,parent_id
aDANc6xd3wU,LUNION EUROPÉENNE SEST COUCHÉE DEVANT LES LABOS PHARMACEUTIQUES,Manon Aubry,regular,2024-05-10T20:44:53.378Z,,180000,0,1,
k329eMtJijY,"
          
          
          
          
            Policiers blessés par balle dans un commissariat de Paris : ce que lon sait
          
        ",TF1 INFO,proposal,2024-05-10T20:44:53.592Z,,0,0,1,aDANc6xd3wU
6hKLNJP-ZYQ,"
          
          
          
          
            Ukraine: la Russie a lancé une offensive terrestre denvergure dans la région de Kharkiv
          
        ",FRANCE 24,proposal,2024-05-10T20:44:53.625Z,,0,0,1,aDANc6xd3wU
r9Rnp6WR5Wk,"
          
          
          
          
            Israël - Hamas : Pour Benjamin Netanyahu il sagit dobtenir une victoire militaire (Gilles Kepel)
          
        ",Europe 1,proposal,2024-05-10T20:44:53.634Z,,0,0,1,aDANc6xd3wU
yTPgJrECFSA,"
          
          
          
          
            LEstonie prête à miner la mer Baltique
          
        ",LCI,proposal,2024-05-10T20:44:53.642Z,,0,0,1,aDANc6xd3wU
wPB2fqEldOg,"
          
          
          
          
            VU du 10/05/24 : Inondations au Brésil
          
        ",VU FranceTV,proposal,2024-05-10T20:44:53.647Z,,0,0,1,aDANc6xd3wU
uai4auH29cg,"
          
          
          
          
            Moscou menace : les Français seront des cibles
          
        ",LCI,proposal,2024-05-10T20:44:53.653Z,,0,0,1,aDANc6xd3wU
ToDyDsjM-38,"
          
          
          
          
            STOP À LA CORRUPTION DES ÉLUS !
          
        ",Manon Aubry,proposal,2024-05-10T20:44:53.659Z,,0,0,1,aDANc6xd3wU
BWMIsM_RT-w,"
          
          
          
          
            Nucléaire : Poutine menace, Loukachenko en rajoute
          
        ",LCI,proposal,2024-05-10T20:44:53.664Z,,0,0,1,aDANc6xd3wU
Emw8Nusst7E,"
          
          
          
          
            Une résolution de lONU accorde de nouveaux droits à la Palestine, relançant sa demande dadhésion
          
        ",euronews (en français),proposal,2024-05-10T20:44:53.671Z,,0,0,1,aDANc6xd3wU
JrsjozczSYc,"
          
          
          
          
            « L’atmosphère est post-apocalyptique » : malgré l’interdiction, ils se promènent sur lA13 fermée
          
        ",Le Parisien,proposal,2024-05-10T20:44:53.677Z,,0,0,1,aDANc6xd3wU
ov6X8NzzFOI,"
          
          
          
          
            Le Journal Afrique du vendredi 10 mai 2024 sur TV5MONDE
          
        ",TV5MONDE Info,proposal,2024-05-10T20:44:53.682Z,,0,0,1,aDANc6xd3wU
Dqzt6yAmdDE,"
          
          
          
          
            BILL GATES: THE INCREDIBLE SCAM BEHIND ITS FOUNDATION
          
        ",Le Média,proposal,2024-05-10T20:44:53.689Z,,0,0,1,aDANc6xd3wU
iazrXtG-5CM,"
          
          
          
          
            Victoires en Ukraine et menace nucléaire : Poutine et la Russie sans limites ? • FRANCE 24
          
        ",FRANCE 24,proposal,2024-05-10T20:44:53.695Z,,0,0,1,aDANc6xd3wU
zIxuYURvAIE,"
          
          
          
          
            On regarde les moments les plus fous de Cash Investigation avec Élise Lucet
          
        ",france tv,proposal,2024-05-10T20:44:53.700Z,,0,0,1,aDANc6xd3wU
Goq_Rz-7b8c,"
          
          
          
          
            Manifestation de soutien à un étudiant propalestinien jugé en comparution immédiate | AFP Images
          
        ",AFP,proposal,2024-05-10T20:44:53.707Z,,0,0,1,aDANc6xd3wU
8vx5CagbY7M,"
          
          
          
          
            This plant can save millions of lives (and WHO does not want it)
          
        ",Le Média,proposal,2024-05-10T20:44:53.713Z,,0,0,1,aDANc6xd3wU
ucuAr611vTo,"
          
          
          
          
            La Russie lance une offensive terrestre dans la région de Kharkiv
          
        ",euronews (en français),proposal,2024-05-10T20:44:53.719Z,,0,0,1,aDANc6xd3wU
R4QUItnlIS0,"
          
          
          
          
            Lambassadeur français convoqué par Moscou
          
        ",LCI,proposal,2024-05-10T20:44:53.727Z,,0,0,1,aDANc6xd3wU
A1bN8W2zy6w,"
          
          
          
          
            Tapis rouge pour Xi Jinping en Hongrie • FRANCE 24
          
        ",FRANCE 24,proposal,2024-05-10T20:44:53.733Z,,0,0,1,aDANc6xd3wU
ykc6T7vFWv0,"
          
          
          
          
            Bipez Johnny le TUNNEL CRÂNIEN svp
          
        ",Hermann Le Patriote,proposal,2024-05-10T20:44:53.739Z,,0,0,1,aDANc6xd3wU
PEQSgJ4NEuY,LA RÉACTION DEMMANUEL MACRON EST CELLE DUN ENFANT GÂTÉ - Manon Aubry,Manon Aubry,regular,2024-05-10T20:48:00.254Z,,180000,1,2,
LeCgE9Jni-4,"
          
          
          
          
            Vladimir Poutine menace lEurope - Reportage #cdanslair 08.05.2024
          
        ",C dans lair,proposal,2024-05-10T20:48:00.382Z,,0,1,2,PEQSgJ4NEuY
UKQu2FHQHaA,"
          
          
          
          
            Européennes : Macron senflamme contre ce flemmard dAttal
          
        ",Pure Politique,proposal,2024-05-10T20:48:00.403Z,,0,1,2,PEQSgJ4NEuY
ToDyDsjM-38,"
          
          
          
          
            STOP À LA CORRUPTION DES ÉLUS !
          
        ",Manon Aubry,proposal,2024-05-10T20:48:00.419Z,,0,1,2,PEQSgJ4NEuY
k329eMtJijY,"
          
          
          
          
            Policiers blessés par balle dans un commissariat de Paris : ce que lon sait
          
        ",TF1 INFO,proposal,2024-05-10T20:48:00.426Z,,0,1,2,PEQSgJ4NEuY
9bIWUaNOP2I,"
          
          
          
          
            GUERRE À GAZA : l’assemblée générale de l’ONU vote en faveur d’une adhésion de la Palestine
          
        ",TV5MONDE Info,proposal,2024-05-10T20:48:00.432Z,,0,1,2,PEQSgJ4NEuY
_A0CxGfiPvM,"
          
          
          
          
            Il ne faut pas virer les gens pour ça : Redouane Bougheraba réagit à laffaire Guillaume Meurice
          
        ",RMC,proposal,2024-05-10T20:48:00.440Z,,0,1,2,PEQSgJ4NEuY
5QvVu6ERtiM,"
          
          
          
          
            Macron face à Poutine | Damien Gillard, Antoine Donneaux & Isabelle Hauben | Le Grand Cactus 151
          
        ",Le Grand Cactus - RTBF,proposal,2024-05-10T20:48:00.446Z,,0,1,2,PEQSgJ4NEuY
GNCMQ1l1MB8,"
          
          
          
          
            Européennes 2024 : Manon Aubry, tête de liste LFI, invitée dAnne-Claire Coudray
          
        ",TF1 INFO,proposal,2024-05-10T20:48:00.453Z,,0,1,2,PEQSgJ4NEuY
vdS2BYVsPv8,"
          
          
          
          
            Éric Zemmour lève la main sur une femme à Ajaccio : Cest de la légitime défense (Sarah Knafo)
          
        ",Europe 1,proposal,2024-05-10T20:48:00.458Z,,0,1,2,PEQSgJ4NEuY
6hKLNJP-ZYQ,"
          
          
          
          
            Ukraine: la Russie a lancé une offensive terrestre denvergure dans la région de Kharkiv
          
        ",FRANCE 24,proposal,2024-05-10T20:48:00.464Z,,0,1,2,PEQSgJ4NEuY
-oOuo6fDcIY,"
          
          
          
          
            Hacking violence et coup de pression, qui a tenté d’empêcher la diffusion ?
          
        ",Envoyé Spécial,proposal,2024-05-10T20:48:00.470Z,,0,1,2,PEQSgJ4NEuY
r_vuQFodEys,"
          
          
          
          
            EUROPÉENNES : LA NUPES EST-ELLE MORTE ET ENTERRÉE ?
          
        ","BLAST, Le souffle de linfo",proposal,2024-05-10T20:48:00.474Z,,0,1,2,PEQSgJ4NEuY
_eqsKtbBMcA,"
          
          
          
          
            Fusillade dans un commissariat de Paris : Une violence gratuite déraisonnable
          
        ",Europe 1,proposal,2024-05-10T20:48:00.481Z,,0,1,2,PEQSgJ4NEuY
uai4auH29cg,"
          
          
          
          
            Moscou menace : les Français seront des cibles
          
        ",LCI,proposal,2024-05-10T20:48:00.485Z,,0,1,2,PEQSgJ4NEuY
oOdXYFGohf0,"
          
          
          
          
            Jordan Bardella répond à Eric Dupond-Moretti sur le tacle à Marine Le Pen !
          
        ",Touche pas à mon poste !,proposal,2024-05-10T20:48:00.490Z,,0,1,2,PEQSgJ4NEuY
xy95Ez9fRmY,"
          
          
          
          
            LES PDG QUI SE GAVENT SONT DES PARASITES !
          
        ",Manon Aubry,proposal,2024-05-10T20:48:00.497Z,,0,1,2,PEQSgJ4NEuY
q9GAahkTLME,"
          
          
          
          
            Mineurs délinquants, Russie, Sciences Po… lintégralité de linterview de Marine Le Pen
          
        ",BFMTV,proposal,2024-05-10T20:48:00.502Z,,0,1,2,PEQSgJ4NEuY
yTPgJrECFSA,"
          
          
          
          
            LEstonie prête à miner la mer Baltique
          
        ",LCI,proposal,2024-05-10T20:48:00.515Z,,0,1,2,PEQSgJ4NEuY
_xaQo86CyDE,"
          
          
          
          
            Échanges tendus entre Louis Boyard et François-Xavier Bellamy (7 mai 2024, Paris, France) [4K]
          
        ",CLPRESS / Agence de presse,proposal,2024-05-10T20:48:00.522Z,,0,1,2,PEQSgJ4NEuY
HR_UZhz9dwQ,"
          
          
          
          
            Européennes: Bardella a-t-il tué le match ?
          
        ",Le Figaro,proposal,2024-05-10T20:48:00.529Z,,0,1,2,PEQSgJ4NEuY
8E3yWUz0fRs,MÉLENCHON AU SECOND TOUR POUR CHANGER LHISTOIRE,Manon Aubry,regular,2024-05-10T20:51:05.120Z,,180000,2,3,
L0NsVrmdvGo,"
          
          
          
          
            Général Michel Yakovleff : Poutine sest engagé dans une guerre qui ne va pas bien pour lui
          
        ",LCI,proposal,2024-05-10T20:51:05.389Z,,0,2,3,8E3yWUz0fRs
LeCgE9Jni-4,"
          
          
          
          
            Vladimir Poutine menace lEurope - Reportage #cdanslair 08.05.2024
          
        ",C dans lair,proposal,2024-05-10T20:51:05.399Z,,0,2,3,8E3yWUz0fRs
r9Rnp6WR5Wk,"
          
          
          
          
            Israël - Hamas : Pour Benjamin Netanyahu il sagit dobtenir une victoire militaire (Gilles Kepel)
          
        ",Europe 1,proposal,2024-05-10T20:51:05.403Z,,0,2,3,8E3yWUz0fRs
rT-qjKal_9Q,"
          
          
          
          
            Israël, cest pire que la Russie: linterview intégrale de Rima Hassan sur BFMTV
          
        ",BFMTV,proposal,2024-05-10T20:51:05.408Z,,0,2,3,8E3yWUz0fRs
