url,title,author,type,insertionDate,refreshNB,watchTime,actionNB,videoViewsNB,parent_id
i3mbpe-Jl3M,Raphaël Glucksmann : On fait la même erreur avec Xi Jinping quavec Vladimir Poutine,France Inter,regular,2024-05-09T19:43:17.995Z,,180000,0,1,
TmIVC9AGTuo,"
          
          
          
          
            Jordan Bardella : LEurope doit mettre fin à une forme de naïveté à légard de la mondialisation
          
        ",France Inter,proposal,2024-05-09T19:43:19.039Z,,0,0,1,i3mbpe-Jl3M
4Kftid4ouA0,"
          
          
          
          
            Corée du Nord, Gérard Depardieu, Sciences Po... Yann Moix est linvité du Face à Face
          
        ",BFMTV,proposal,2024-05-09T19:43:19.219Z,,0,0,1,i3mbpe-Jl3M
6pqd2NoHlGQ,"
          
          
          
          
            Après la Serbie, Xi Jinping en Hongrie : le président chinois en terrain conquis ? • FRANCE 24
          
        ",FRANCE 24,proposal,2024-05-09T19:43:19.622Z,,0,0,1,i3mbpe-Jl3M
xQUAHV12Vfo,"
          
          
          
          
            Donald Trump et Joe Biden sont des figures vides de la démocratie
          
        ",France Inter,proposal,2024-05-09T19:43:19.644Z,,0,0,1,i3mbpe-Jl3M
_30j4FGmfGg,"
          
          
          
          
            Chine-Russie : une alliance en train de se renforcer ? - Frédéric Lemaître - C à Vous - 07/05/2024
          
        ",C à vous,proposal,2024-05-09T19:43:19.650Z,,0,0,1,i3mbpe-Jl3M
vPY715WtPlc,"
          
          
          
          
            Clémence Guetté dénonce le climat actuel de censure et de répression
          
        ",France Inter,proposal,2024-05-09T19:43:19.656Z,,0,0,1,i3mbpe-Jl3M
wLiFN_HQBW4,"
          
          
          
          
            Exfiltré d’un défilé du 1er mai, Raphaël Glucksmann réagit - C à Vous - 02/05/2024
          
        ",C à vous,proposal,2024-05-09T19:43:19.663Z,,0,0,1,i3mbpe-Jl3M
0gJ-g_YyW_g,"
          
          
          
          
            Sophia Aram : un discours politique aux Molières - C à Vous - 07/05/2024
          
        ",C à vous,proposal,2024-05-09T19:43:19.669Z,,0,0,1,i3mbpe-Jl3M
9nSASZPESOI,"
          
          
          
          
            9 mai : lOccident, cible désignée de Poutine
          
        ",LCI,proposal,2024-05-09T19:43:19.675Z,,0,0,1,i3mbpe-Jl3M
4S8yyE43eWc,"
          
          
          
          
            Raphaël Glucksmann passe son Grand Oral des européennes à lUniversité Libé
          
        ",Libération,proposal,2024-05-09T19:43:19.686Z,,0,0,1,i3mbpe-Jl3M
T4wr_MdzDRo,"
          
          
          
          
            Vote RN : les motivations des électeurs ont-elles changé ?
          
        ",France Culture,proposal,2024-05-09T19:43:19.695Z,,0,0,1,i3mbpe-Jl3M
ClOGl60y8Ok,"
          
          
          
          
            Jean-Yves Le Drian dénonce un désastre et un massacre innommables à Rafah et Gaza
          
        ",France Inter,proposal,2024-05-09T19:43:19.702Z,,0,0,1,i3mbpe-Jl3M
w-ekr9rmSuQ,"
          
          
          
          
            Lintelligence artificielle inquiète... Et menace déjà des emplois - Reportage #cdanslair 07.05.2024
          
        ",C dans lair,proposal,2024-05-09T19:43:19.713Z,,0,0,1,i3mbpe-Jl3M
