url,title,author,type,insertionDate,refreshNB,watchTime,actionNB,videoViewsNB,parent_id
i3mbpe-Jl3M,Raphaël Glucksmann : On fait la même erreur avec Xi Jinping quavec Vladimir Poutine,France Inter,regular,2024-05-10T05:41:36.783Z,,180000,0,1,
9Dkl73nHfH0,"
          
          
          
          
            Élections européennes 2024 : Pourquoi Glucksmann nest pas avec nous ?
          
        ",RTL  ,proposal,2024-05-10T05:41:37.130Z,,0,0,1,i3mbpe-Jl3M
TmIVC9AGTuo,"
          
          
          
          
            Jordan Bardella : LEurope doit mettre fin à une forme de naïveté à légard de la mondialisation
          
        ",France Inter,proposal,2024-05-10T05:41:37.154Z,,0,0,1,i3mbpe-Jl3M
4Kftid4ouA0,"
          
          
          
          
            Corée du Nord, Gérard Depardieu, Sciences Po... Yann Moix est linvité du Face à Face
          
        ",BFMTV,proposal,2024-05-10T05:41:37.161Z,,0,0,1,i3mbpe-Jl3M
ClOGl60y8Ok,"
          
          
          
          
            Jean-Yves Le Drian dénonce un désastre et un massacre innommables à Rafah et Gaza
          
        ",France Inter,proposal,2024-05-10T05:41:37.177Z,,0,0,1,i3mbpe-Jl3M
xQUAHV12Vfo,"
          
          
          
          
            Donald Trump et Joe Biden sont des figures vides de la démocratie
          
        ",France Inter,proposal,2024-05-10T05:41:37.185Z,,0,0,1,i3mbpe-Jl3M
wLiFN_HQBW4,"
          
          
          
          
            Exfiltré d’un défilé du 1er mai, Raphaël Glucksmann réagit - C à Vous - 02/05/2024
          
        ",C à vous,proposal,2024-05-10T05:41:37.192Z,,0,0,1,i3mbpe-Jl3M
T4wr_MdzDRo,"
          
          
          
          
            Vote RN : les motivations des électeurs ont-elles changé ?
          
        ",France Culture,proposal,2024-05-10T05:41:37.199Z,,0,0,1,i3mbpe-Jl3M
UZ3VUJGa0ow,"
          
          
          
          
            L’écologie à l’épreuve des européennes : Julia Cagé X Jean-Yves Dormagen
          
        ",France Inter,proposal,2024-05-10T05:41:37.205Z,,0,0,1,i3mbpe-Jl3M
vPY715WtPlc,"
          
          
          
          
            Clémence Guetté dénonce le climat actuel de censure et de répression
          
        ",France Inter,proposal,2024-05-10T05:41:37.210Z,,0,0,1,i3mbpe-Jl3M
0gJ-g_YyW_g,"
          
          
          
          
            Sophia Aram : un discours politique aux Molières - C à Vous - 07/05/2024
          
        ",C à vous,proposal,2024-05-10T05:41:37.218Z,,0,0,1,i3mbpe-Jl3M
N0HqQ9N-G4M,"
          
          
          
          
            RAPHAËL GLUCKSMANN : UN AUTRE MACRON EST POSSIBLE
          
        ","BLAST, Le souffle de linfo",proposal,2024-05-10T05:41:37.225Z,,0,0,1,i3mbpe-Jl3M
7gMHV55JVh4,"
          
          
          
          
            La Matinale du 10/05 : J-D. Michel, M. Maffesoli et le Jarl décryptent la France de 2024
          
        ",Tocsin,proposal,2024-05-10T05:41:37.236Z,,0,0,1,i3mbpe-Jl3M
NGYUz2ipxtw,"
          
          
          
          
            Entre monstres sacrés et nouvelle vague Me Too, quel sera le visage de Cannes 2024 ?Le débat du 7/10
          
        ",France Inter,proposal,2024-05-10T05:41:37.243Z,,0,0,1,i3mbpe-Jl3M
4S8yyE43eWc,"
          
          
          
          
            Raphaël Glucksmann passe son Grand Oral des européennes à lUniversité Libé
          
        ",Libération,proposal,2024-05-10T05:41:37.253Z,,0,0,1,i3mbpe-Jl3M
bqD5Z0IM4fs,"
          
          
          
          
            La France est à la traîne sur laide à lUkraine: linterview en intégralité de Raphaël Glucksmann
          
        ",BFMTV,proposal,2024-05-10T05:41:37.258Z,,0,0,1,i3mbpe-Jl3M
7khQBoQWROQ,"
          
          
          
          
            Que peut-on attendre de la visite du président chinois en France ?
          
        ",France Inter,proposal,2024-05-10T05:41:37.264Z,,0,0,1,i3mbpe-Jl3M
qccNrOZPFoI,"
          
          
          
          
            Face à Poutine - Le coup dessai (1/3) | ARTE
          
        ",ARTE,proposal,2024-05-10T05:41:37.270Z,,0,0,1,i3mbpe-Jl3M
tkFAzDwQGus,"
          
          
          
          
            Élections européennes : le débat entre Marion Maréchal (Reconquête) et Valérie Hayer (Renaissance)
          
        ",Europe 1,proposal,2024-05-10T05:41:37.276Z,,0,0,1,i3mbpe-Jl3M
hRp8Zn78enY,"
          
          
          
          
            Hervé Machenaud (EDF) : Xi Jinping en France, les enjeux
          
        ",BFM Business,proposal,2024-05-10T05:41:37.283Z,,0,0,1,i3mbpe-Jl3M
pa_HkUeLYN4,"
          
          
          
          
            Le moment Aymeurice - Le Moment Meurice
          
        ",France Inter,proposal,2024-05-10T05:41:37.292Z,,0,0,1,i3mbpe-Jl3M
LwNpZ9Lw7Yk,Le président chinois Xi Jinping en France : Il ne faut pas le traiter en ami.,RTL  ,regular,2024-05-10T05:44:41.212Z,,180000,1,2,
CFFniXACoCY,"
          
          
          
          
            Philippe Caverivière face à Raphaël Glucksmann
          
        ",RTL  ,proposal,2024-05-10T05:44:41.469Z,,0,1,2,LwNpZ9Lw7Yk
