
Election présidentielle 2022
Période du 1er janvier au 13 février 2022
Temps de parole sur BFM TV

Candidat;"Détail des temps";"Total période (durée)";"Total période (%)"
"ARTHAUD NATHALIE";Candidat;00:13:13;0.63
"ARTHAUD NATHALIE";Soutiens;00:00:00;-
"ARTHAUD NATHALIE";"Total Temps de parole";00:13:13;0.26
"ARTHAUD NATHALIE";"Total Temps d'antenne";00:13:21;0.19
"DUPONT AIGNAN NICOLAS";Candidat;00:30:28;1.45
"DUPONT AIGNAN NICOLAS";Soutiens;00:00:00;-
"DUPONT AIGNAN NICOLAS";"Total Temps de parole";00:30:28;0.59
"DUPONT AIGNAN NICOLAS";"Total Temps d'antenne";00:30:28;0.42
"FURLAN PHILIPPE";Candidat;00:02:11;0.10
"FURLAN PHILIPPE";Soutiens;00:00:00;-
"FURLAN PHILIPPE";"Total Temps de parole";00:02:11;0.04
"FURLAN PHILIPPE";"Total Temps d'antenne";00:03:31;0.05
"GRIMAL FABRICE";Candidat;00:00:47;0.04
"GRIMAL FABRICE";Soutiens;00:00:46;0.03
"GRIMAL FABRICE";"Total Temps de parole";00:01:33;0.03
"GRIMAL FABRICE";"Total Temps d'antenne";00:03:56;0.05
"HIDALGO ANNE";Candidat;01:50:05;5.23
"HIDALGO ANNE";Soutiens;00:36:53;1.21
"HIDALGO ANNE";"Total Temps de parole";02:26:58;2.85
"HIDALGO ANNE";"Total Temps d'antenne";02:40:19;2.23
"JADOT YANNICK";Candidat;02:09:36;6.15
"JADOT YANNICK";Soutiens;03:11:55;6.30
"JADOT YANNICK";"Total Temps de parole";05:21:31;6.24
"JADOT YANNICK";"Total Temps d'antenne";05:47:41;4.85
"KAZIB ANASSE";Candidat;00:02:41;0.13
"KAZIB ANASSE";Soutiens;00:00:00;-
"KAZIB ANASSE";"Total Temps de parole";00:02:41;0.05
"KAZIB ANASSE";"Total Temps d'antenne";00:03:44;0.05
"KOENIG GASPARD";Candidat;00:08:18;0.39
"KOENIG GASPARD";Soutiens;00:00:00;-
"KOENIG GASPARD";"Total Temps de parole";00:08:18;0.16
"KOENIG GASPARD";"Total Temps d'antenne";00:08:18;0.12
"KUZMANOVIC GEORGES";Candidat;00:02:40;0.13
"KUZMANOVIC GEORGES";Soutiens;00:00:00;-
"KUZMANOVIC GEORGES";"Total Temps de parole";00:02:40;0.05
"KUZMANOVIC GEORGES";"Total Temps d'antenne";00:06:19;0.09
"LANGLOIS ALEXANDRE";Candidat;00:06:51;0.33
"LANGLOIS ALEXANDRE";Soutiens;00:00:00;-
"LANGLOIS ALEXANDRE";"Total Temps de parole";00:06:51;0.13
"LANGLOIS ALEXANDRE";"Total Temps d'antenne";00:10:43;0.15
"LASSALLE JEAN";Candidat;00:00:58;0.05
"LASSALLE JEAN";Soutiens;00:02:08;0.07
"LASSALLE JEAN";"Total Temps de parole";00:03:06;0.06
"LASSALLE JEAN";"Total Temps d'antenne";00:06:39;0.09
"LE PEN MARINE";Candidat;04:54:22;13.97
"LE PEN MARINE";Soutiens;11:12:11;22.07
"LE PEN MARINE";"Total Temps de parole";16:06:33;18.76
"LE PEN MARINE";"Total Temps d'antenne";22:06:07;18.48
"MACRON EMMANUEL";Candidat;01:42:32;4.87
"MACRON EMMANUEL";Soutiens;09:35:01;18.88
"MACRON EMMANUEL";"Total Temps de parole";11:17:33;13.15
"MACRON EMMANUEL";"Total Temps d'antenne";18:01:22;15.07
"MELENCHON JEAN LUC";Candidat;03:39:22;10.41
"MELENCHON JEAN LUC";Soutiens;05:35:02;11.00
"MELENCHON JEAN LUC";"Total Temps de parole";09:14:24;10.76
"MELENCHON JEAN LUC";"Total Temps d'antenne";10:18:31;8.62
"MONTEBOURG ARNAUD";Candidat;00:00:00;-
"MONTEBOURG ARNAUD";Soutiens;00:00:00;-
"MONTEBOURG ARNAUD";"Total Temps de parole";00:00:00;-
"MONTEBOURG ARNAUD";"Total Temps d'antenne";00:02:21;0.03
"PECRESSE VALERIE";Candidat;04:47:46;13.66
"PECRESSE VALERIE";Soutiens;12:12:28;24.05
"PECRESSE VALERIE";"Total Temps de parole";17:00:14;19.80
"PECRESSE VALERIE";"Total Temps d'antenne";24:01:59;20.10
"PHILIPPOT FLORIAN";Candidat;00:08:02;0.38
"PHILIPPOT FLORIAN";Soutiens;00:00:00;-
"PHILIPPOT FLORIAN";"Total Temps de parole";00:08:02;0.16
"PHILIPPOT FLORIAN";"Total Temps d'antenne";00:09:35;0.13
"POUTOU PHILIPPE";Candidat;00:03:42;0.18
"POUTOU PHILIPPE";Soutiens;00:00:00;-
"POUTOU PHILIPPE";"Total Temps de parole";00:03:42;0.07
"POUTOU PHILIPPE";"Total Temps d'antenne";00:03:42;0.05
"RIVOAL STEPHANIE";Candidat;00:02:40;0.13
"RIVOAL STEPHANIE";Soutiens;00:00:00;-
"RIVOAL STEPHANIE";"Total Temps de parole";00:02:40;0.05
"RIVOAL STEPHANIE";"Total Temps d'antenne";00:04:36;0.06
"ROCCA MARTIN";Candidat;00:04:29;0.21
"ROCCA MARTIN";Soutiens;00:00:00;-
"ROCCA MARTIN";"Total Temps de parole";00:04:29;0.09
"ROCCA MARTIN";"Total Temps d'antenne";00:06:01;0.08
"ROUSSEL FABIEN";Candidat;01:44:38;4.97
"ROUSSEL FABIEN";Soutiens;00:39:14;1.29
"ROUSSEL FABIEN";"Total Temps de parole";02:23:52;2.79
"ROUSSEL FABIEN";"Total Temps d'antenne";03:37:34;3.03
"TAUBIRA CHRISTIANE";Candidat;01:57:55;5.60
"TAUBIRA CHRISTIANE";Soutiens;00:17:35;0.58
"TAUBIRA CHRISTIANE";"Total Temps de parole";02:15:30;2.63
"TAUBIRA CHRISTIANE";"Total Temps d'antenne";03:27:09;2.89
"THOUY HELENE";Candidat;00:05:07;0.24
"THOUY HELENE";Soutiens;00:03:43;0.12
"THOUY HELENE";"Total Temps de parole";00:08:50;0.17
"THOUY HELENE";"Total Temps d'antenne";00:08:50;0.12
"ZEMMOUR ERIC";Candidat;10:48:21;30.78
"ZEMMOUR ERIC";Soutiens;07:19:01;14.41
"ZEMMOUR ERIC";"Total Temps de parole";18:07:22;21.10
"ZEMMOUR ERIC";"Total Temps d'antenne";27:31:57;23.02
