
Election présidentielle 2022
Période du 1er janvier au 13 février 2022
Temps de parole sur C8

Candidat;"Détail des temps";"Total période (durée)";"Total période (%)"
"ARTHAUD NATHALIE";Candidat;00:09:35;1.94
"ARTHAUD NATHALIE";Soutiens;00:00:00;-
"ARTHAUD NATHALIE";"Total Temps de parole";00:09:35;1.14
"ARTHAUD NATHALIE";"Total Temps d'antenne";00:09:35;1.02
"ASSELINEAU FRANCOIS";Candidat;00:07:44;1.56
"ASSELINEAU FRANCOIS";Soutiens;00:00:00;-
"ASSELINEAU FRANCOIS";"Total Temps de parole";00:07:44;0.92
"ASSELINEAU FRANCOIS";"Total Temps d'antenne";00:07:44;0.83
"DUPONT AIGNAN NICOLAS";Candidat;00:18:53;3.82
"DUPONT AIGNAN NICOLAS";Soutiens;00:00:00;-
"DUPONT AIGNAN NICOLAS";"Total Temps de parole";00:18:53;2.26
"DUPONT AIGNAN NICOLAS";"Total Temps d'antenne";00:18:53;2.02
"HIDALGO ANNE";Candidat;00:24:34;4.97
"HIDALGO ANNE";Soutiens;00:00:00;-
"HIDALGO ANNE";"Total Temps de parole";00:24:34;2.93
"HIDALGO ANNE";"Total Temps d'antenne";00:27:56;2.99
"JADOT YANNICK";Candidat;00:37:43;7.62
"JADOT YANNICK";Soutiens;00:00:00;-
"JADOT YANNICK";"Total Temps de parole";00:37:43;4.50
"JADOT YANNICK";"Total Temps d'antenne";00:39:08;4.18
"KOENIG GASPARD";Candidat;00:00:59;0.20
"KOENIG GASPARD";Soutiens;00:00:00;-
"KOENIG GASPARD";"Total Temps de parole";00:00:59;0.12
"KOENIG GASPARD";"Total Temps d'antenne";00:01:19;0.14
"LASSALLE JEAN";Candidat;00:07:00;1.41
"LASSALLE JEAN";Soutiens;00:00:00;-
"LASSALLE JEAN";"Total Temps de parole";00:07:00;0.84
"LASSALLE JEAN";"Total Temps d'antenne";00:07:00;0.75
"LE PEN MARINE";Candidat;01:15:07;15.18
"LE PEN MARINE";Soutiens;01:15:03;21.91
"LE PEN MARINE";"Total Temps de parole";02:30:10;17.94
"LE PEN MARINE";"Total Temps d'antenne";02:35:54;16.66
"MACRON EMMANUEL";Candidat;00:13:01;2.63
"MACRON EMMANUEL";Soutiens;02:08:43;37.58
"MACRON EMMANUEL";"Total Temps de parole";02:21:44;16.93
"MACRON EMMANUEL";"Total Temps d'antenne";02:54:01;18.60
"MELENCHON JEAN LUC";Candidat;01:40:38;20.34
"MELENCHON JEAN LUC";Soutiens;01:18:02;22.78
"MELENCHON JEAN LUC";"Total Temps de parole";02:58:40;21.34
"MELENCHON JEAN LUC";"Total Temps d'antenne";03:03:56;19.66
"MONTEBOURG ARNAUD";Candidat;00:00:39;0.13
"MONTEBOURG ARNAUD";Soutiens;00:00:00;-
"MONTEBOURG ARNAUD";"Total Temps de parole";00:00:39;0.08
"MONTEBOURG ARNAUD";"Total Temps d'antenne";00:00:39;0.07
"PECRESSE VALERIE";Candidat;01:25:16;17.23
"PECRESSE VALERIE";Soutiens;00:22:06;6.45
"PECRESSE VALERIE";"Total Temps de parole";01:47:22;12.82
"PECRESSE VALERIE";"Total Temps d'antenne";02:05:59;13.46
"PHILIPPOT FLORIAN";Candidat;00:20:50;4.21
"PHILIPPOT FLORIAN";Soutiens;00:00:00;-
"PHILIPPOT FLORIAN";"Total Temps de parole";00:20:50;2.49
"PHILIPPOT FLORIAN";"Total Temps d'antenne";00:20:50;2.23
"POUTOU PHILIPPE";Candidat;00:07:25;1.50
"POUTOU PHILIPPE";Soutiens;00:00:00;-
"POUTOU PHILIPPE";"Total Temps de parole";00:07:25;0.89
"POUTOU PHILIPPE";"Total Temps d'antenne";00:07:25;0.79
"ROUSSEL FABIEN";Candidat;00:17:27;3.53
"ROUSSEL FABIEN";Soutiens;00:01:01;0.30
"ROUSSEL FABIEN";"Total Temps de parole";00:18:28;2.21
"ROUSSEL FABIEN";"Total Temps d'antenne";00:18:39;1.99
"TAUBIRA CHRISTIANE";Candidat;00:14:21;2.90
"TAUBIRA CHRISTIANE";Soutiens;00:00:00;-
"TAUBIRA CHRISTIANE";"Total Temps de parole";00:14:21;1.71
"TAUBIRA CHRISTIANE";"Total Temps d'antenne";00:16:53;1.80
"THOUY HELENE";Candidat;00:00:32;0.11
"THOUY HELENE";Soutiens;00:00:00;-
"THOUY HELENE";"Total Temps de parole";00:00:32;0.06
"THOUY HELENE";"Total Temps d'antenne";00:01:27;0.15
"ZEMMOUR ERIC";Candidat;00:53:02;10.72
"ZEMMOUR ERIC";Soutiens;00:37:35;10.97
"ZEMMOUR ERIC";"Total Temps de parole";01:30:37;10.82
"ZEMMOUR ERIC";"Total Temps d'antenne";01:58:28;12.66
