
Election présidentielle 2022
Période du 1er janvier au 13 février 2022
Temps de parole sur Cnews

Candidat;"Détail des temps";"Total période (durée)";"Total période (%)"
"ARTHAUD NATHALIE";Candidat;00:04:50;0.19
"ARTHAUD NATHALIE";Soutiens;00:00:00;-
"ARTHAUD NATHALIE";"Total Temps de parole";00:04:50;0.06
"ARTHAUD NATHALIE";"Total Temps d'antenne";00:05:53;0.05
"ASSELINEAU FRANCOIS";Candidat;00:02:52;0.11
"ASSELINEAU FRANCOIS";Soutiens;00:00:00;-
"ASSELINEAU FRANCOIS";"Total Temps de parole";00:02:52;0.04
"ASSELINEAU FRANCOIS";"Total Temps d'antenne";00:02:52;0.03
"DUPONT AIGNAN NICOLAS";Candidat;01:38:45;3.91
"DUPONT AIGNAN NICOLAS";Soutiens;00:00:00;-
"DUPONT AIGNAN NICOLAS";"Total Temps de parole";01:38:45;1.28
"DUPONT AIGNAN NICOLAS";"Total Temps d'antenne";01:52:56;1.00
"HIDALGO ANNE";Candidat;03:25:07;8.13
"HIDALGO ANNE";Soutiens;04:50:11;5.57
"HIDALGO ANNE";"Total Temps de parole";08:15:18;6.41
"HIDALGO ANNE";"Total Temps d'antenne";09:30:20;5.06
"JADOT YANNICK";Candidat;04:16:29;10.16
"JADOT YANNICK";Soutiens;03:02:00;3.50
"JADOT YANNICK";"Total Temps de parole";07:18:29;5.67
"JADOT YANNICK";"Total Temps d'antenne";07:58:23;4.24
"KOENIG GASPARD";Candidat;00:40:52;1.62
"KOENIG GASPARD";Soutiens;00:00:00;-
"KOENIG GASPARD";"Total Temps de parole";00:40:52;0.53
"KOENIG GASPARD";"Total Temps d'antenne";00:41:44;0.37
"KUZMANOVIC GEORGES";Candidat;00:10:47;0.43
"KUZMANOVIC GEORGES";Soutiens;00:00:00;-
"KUZMANOVIC GEORGES";"Total Temps de parole";00:10:47;0.14
"KUZMANOVIC GEORGES";"Total Temps d'antenne";00:10:47;0.10
"LARROUTUROU PIERRE";Candidat;00:06:50;0.27
"LARROUTUROU PIERRE";Soutiens;00:00:00;-
"LARROUTUROU PIERRE";"Total Temps de parole";00:06:50;0.09
"LARROUTUROU PIERRE";"Total Temps d'antenne";00:06:50;0.06
"LASSALLE JEAN";Candidat;00:00:13;0.01
"LASSALLE JEAN";Soutiens;00:01:47;0.03
"LASSALLE JEAN";"Total Temps de parole";00:02:00;0.03
"LASSALLE JEAN";"Total Temps d'antenne";00:17:19;0.15
"LE PEN MARINE";Candidat;06:12:34;14.76
"LE PEN MARINE";Soutiens;16:14:01;18.71
"LE PEN MARINE";"Total Temps de parole";22:26:35;17.42
"LE PEN MARINE";"Total Temps d'antenne";33:38:26;17.91
"MACRON EMMANUEL";Candidat;01:56:39;4.62
"MACRON EMMANUEL";Soutiens;23:49:25;27.46
"MACRON EMMANUEL";"Total Temps de parole";25:46:04;20.00
"MACRON EMMANUEL";"Total Temps d'antenne";40:03:44;21.33
"MELENCHON JEAN LUC";Candidat;04:59:32;11.87
"MELENCHON JEAN LUC";Soutiens;08:26:28;9.73
"MELENCHON JEAN LUC";"Total Temps de parole";13:26:00;10.43
"MELENCHON JEAN LUC";"Total Temps d'antenne";16:15:03;8.65
"MONTEBOURG ARNAUD";Candidat;00:03:09;0.12
"MONTEBOURG ARNAUD";Soutiens;00:13:20;0.26
"MONTEBOURG ARNAUD";"Total Temps de parole";00:16:29;0.21
"MONTEBOURG ARNAUD";"Total Temps d'antenne";00:16:29;0.15
"PECRESSE VALERIE";Candidat;03:55:45;9.34
"PECRESSE VALERIE";Soutiens;20:48:37;23.98
"PECRESSE VALERIE";"Total Temps de parole";24:44:22;19.20
"PECRESSE VALERIE";"Total Temps d'antenne";33:47:25;17.99
"PHILIPPOT FLORIAN";Candidat;01:09:45;2.76
"PHILIPPOT FLORIAN";Soutiens;00:00:00;-
"PHILIPPOT FLORIAN";"Total Temps de parole";01:09:45;0.90
"PHILIPPOT FLORIAN";"Total Temps d'antenne";01:11:47;0.64
"POUTOU PHILIPPE";Candidat;00:21:05;0.84
"POUTOU PHILIPPE";Soutiens;00:02:47;0.05
"POUTOU PHILIPPE";"Total Temps de parole";00:23:52;0.31
"POUTOU PHILIPPE";"Total Temps d'antenne";00:26:28;0.23
"ROUSSEL FABIEN";Candidat;02:51:37;6.80
"ROUSSEL FABIEN";Soutiens;01:13:53;1.42
"ROUSSEL FABIEN";"Total Temps de parole";04:05:30;3.18
"ROUSSEL FABIEN";"Total Temps d'antenne";05:52:21;3.13
"TAUBIRA CHRISTIANE";Candidat;01:43:42;4.11
"TAUBIRA CHRISTIANE";Soutiens;00:18:02;0.35
"TAUBIRA CHRISTIANE";"Total Temps de parole";02:01:44;1.57
"TAUBIRA CHRISTIANE";"Total Temps d'antenne";03:19:13;1.77
"THOUY HELENE";Candidat;00:25:55;1.03
"THOUY HELENE";Soutiens;00:00:00;-
"THOUY HELENE";"Total Temps de parole";00:25:55;0.34
"THOUY HELENE";"Total Temps d'antenne";00:33:29;0.30
"ZEMMOUR ERIC";Candidat;07:58:00;18.93
"ZEMMOUR ERIC";Soutiens;07:45:27;8.94
"ZEMMOUR ERIC";"Total Temps de parole";15:43:27;12.20
"ZEMMOUR ERIC";"Total Temps d'antenne";31:39:52;16.86
