
Election présidentielle 2022
Période du 1er janvier au 13 février 2022
Temps de parole sur France 3

Candidat;"Détail des temps";"Total période (durée)";"Total période (%)"
"ARTHAUD NATHALIE";Candidat;00:00:31;0.32
"ARTHAUD NATHALIE";Soutiens;00:00:00;-
"ARTHAUD NATHALIE";"Total Temps de parole";00:00:31;0.30
"ARTHAUD NATHALIE";"Total Temps d'antenne";00:01:08;0.50
"ASSELINEAU FRANCOIS";Candidat;00:00:40;0.42
"ASSELINEAU FRANCOIS";Soutiens;00:00:00;-
"ASSELINEAU FRANCOIS";"Total Temps de parole";00:00:40;0.39
"ASSELINEAU FRANCOIS";"Total Temps d'antenne";00:00:44;0.32
"DUPONT AIGNAN NICOLAS";Candidat;00:10:14;6.38
"DUPONT AIGNAN NICOLAS";Soutiens;00:00:00;-
"DUPONT AIGNAN NICOLAS";"Total Temps de parole";00:10:14;5.95
"DUPONT AIGNAN NICOLAS";"Total Temps d'antenne";00:11:04;4.88
"HIDALGO ANNE";Candidat;00:23:38;14.72
"HIDALGO ANNE";Soutiens;00:00:23;3.34
"HIDALGO ANNE";"Total Temps de parole";00:24:01;13.97
"HIDALGO ANNE";"Total Temps d'antenne";00:26:16;11.58
"JADOT YANNICK";Candidat;00:02:35;1.61
"JADOT YANNICK";Soutiens;00:01:01;8.87
"JADOT YANNICK";"Total Temps de parole";00:03:36;2.09
"JADOT YANNICK";"Total Temps d'antenne";00:07:14;3.19
"LASSALLE JEAN";Candidat;00:00:18;0.19
"LASSALLE JEAN";Soutiens;00:00:10;1.45
"LASSALLE JEAN";"Total Temps de parole";00:00:28;0.27
"LASSALLE JEAN";"Total Temps d'antenne";00:00:42;0.31
"LE PEN MARINE";Candidat;00:28:50;17.96
"LE PEN MARINE";Soutiens;00:00:53;7.70
"LE PEN MARINE";"Total Temps de parole";00:29:43;17.28
"LE PEN MARINE";"Total Temps d'antenne";00:36:21;16.03
"MACRON EMMANUEL";Candidat;00:01:24;0.87
"MACRON EMMANUEL";Soutiens;00:03:38;31.69
"MACRON EMMANUEL";"Total Temps de parole";00:05:02;2.93
"MACRON EMMANUEL";"Total Temps d'antenne";00:12:11;5.37
"MELENCHON JEAN LUC";Candidat;00:02:27;1.53
"MELENCHON JEAN LUC";Soutiens;00:00:14;2.03
"MELENCHON JEAN LUC";"Total Temps de parole";00:02:41;1.56
"MELENCHON JEAN LUC";"Total Temps d'antenne";00:08:18;3.66
"PECRESSE VALERIE";Candidat;00:26:27;16.48
"PECRESSE VALERIE";Soutiens;00:01:56;16.86
"PECRESSE VALERIE";"Total Temps de parole";00:28:23;16.51
"PECRESSE VALERIE";"Total Temps d'antenne";00:37:32;16.55
"PHILIPPOT FLORIAN";Candidat;00:00:11;0.11
"PHILIPPOT FLORIAN";Soutiens;00:00:00;-
"PHILIPPOT FLORIAN";"Total Temps de parole";00:00:11;0.11
"PHILIPPOT FLORIAN";"Total Temps d'antenne";00:00:11;0.08
"POUTOU PHILIPPE";Candidat;00:00:03;0.03
"POUTOU PHILIPPE";Soutiens;00:00:00;-
"POUTOU PHILIPPE";"Total Temps de parole";00:00:03;0.03
"POUTOU PHILIPPE";"Total Temps d'antenne";00:00:07;0.05
"ROUSSEL FABIEN";Candidat;00:24:21;15.17
"ROUSSEL FABIEN";Soutiens;00:01:21;11.77
"ROUSSEL FABIEN";"Total Temps de parole";00:25:42;14.94
"ROUSSEL FABIEN";"Total Temps d'antenne";00:30:39;13.52
"TAUBIRA CHRISTIANE";Candidat;00:15:42;9.78
"TAUBIRA CHRISTIANE";Soutiens;00:00:06;0.87
"TAUBIRA CHRISTIANE";"Total Temps de parole";00:15:48;9.19
"TAUBIRA CHRISTIANE";"Total Temps d'antenne";00:21:06;9.31
"THOUY HELENE";Candidat;00:00:18;0.19
"THOUY HELENE";Soutiens;00:00:00;-
"THOUY HELENE";"Total Temps de parole";00:00:18;0.17
"THOUY HELENE";"Total Temps d'antenne";00:00:36;0.26
"ZEMMOUR ERIC";Candidat;00:22:51;14.24
"ZEMMOUR ERIC";Soutiens;00:01:46;15.41
"ZEMMOUR ERIC";"Total Temps de parole";00:24:37;14.31
"ZEMMOUR ERIC";"Total Temps d'antenne";00:32:36;14.38
