
Election présidentielle 2022
Période du 1er janvier au 13 février 2022
Temps de parole sur France info TV

Candidat;"Détail des temps";"Total période (durée)";"Total période (%)"
"AGUEB PORTERIE ANNA";Candidat;00:08:42;0.62
"AGUEB PORTERIE ANNA";Soutiens;00:00:00;-
"AGUEB PORTERIE ANNA";"Total Temps de parole";00:08:42;0.28
"AGUEB PORTERIE ANNA";"Total Temps d'antenne";00:08:42;0.25
"ARTHAUD NATHALIE";Candidat;00:28:16;2.00
"ARTHAUD NATHALIE";Soutiens;00:07:34;0.44
"ARTHAUD NATHALIE";"Total Temps de parole";00:35:50;1.14
"ARTHAUD NATHALIE";"Total Temps d'antenne";00:36:46;1.05
"ASSELINEAU FRANCOIS";Candidat;00:10:32;0.75
"ASSELINEAU FRANCOIS";Soutiens;00:00:00;-
"ASSELINEAU FRANCOIS";"Total Temps de parole";00:10:32;0.34
"ASSELINEAU FRANCOIS";"Total Temps d'antenne";00:10:32;0.30
"DUPONT AIGNAN NICOLAS";Candidat;00:20:00;1.42
"DUPONT AIGNAN NICOLAS";Soutiens;00:00:00;-
"DUPONT AIGNAN NICOLAS";"Total Temps de parole";00:20:00;0.64
"DUPONT AIGNAN NICOLAS";"Total Temps d'antenne";00:20:16;0.58
"HIDALGO ANNE";Candidat;03:15:43;13.87
"HIDALGO ANNE";Soutiens;02:27:09;8.55
"HIDALGO ANNE";"Total Temps de parole";05:42:52;10.95
"HIDALGO ANNE";"Total Temps d'antenne";05:47:16;9.87
"JADOT YANNICK";Candidat;02:59:34;12.73
"JADOT YANNICK";Soutiens;02:25:15;8.44
"JADOT YANNICK";"Total Temps de parole";05:24:49;10.37
"JADOT YANNICK";"Total Temps d'antenne";05:50:03;9.95
"LARROUTUROU PIERRE";Candidat;00:11:55;0.84
"LARROUTUROU PIERRE";Soutiens;00:00:00;-
"LARROUTUROU PIERRE";"Total Temps de parole";00:11:55;0.38
"LARROUTUROU PIERRE";"Total Temps d'antenne";00:11:55;0.34
"LASSALLE JEAN";Candidat;00:12:09;0.86
"LASSALLE JEAN";Soutiens;00:00:00;-
"LASSALLE JEAN";"Total Temps de parole";00:12:09;0.39
"LASSALLE JEAN";"Total Temps d'antenne";00:12:09;0.35
"LE PEN MARINE";Candidat;02:48:02;11.91
"LE PEN MARINE";Soutiens;03:03:31;10.67
"LE PEN MARINE";"Total Temps de parole";05:51:33;11.23
"LE PEN MARINE";"Total Temps d'antenne";07:08:45;12.19
"MACRON EMMANUEL";Candidat;01:43:09;7.31
"MACRON EMMANUEL";Soutiens;06:14:06;21.74
"MACRON EMMANUEL";"Total Temps de parole";07:57:15;15.24
"MACRON EMMANUEL";"Total Temps d'antenne";09:41:01;16.52
"MARCHANDISE CHARLOTTE";Candidat;00:09:21;0.66
"MARCHANDISE CHARLOTTE";Soutiens;00:00:00;-
"MARCHANDISE CHARLOTTE";"Total Temps de parole";00:09:21;0.30
"MARCHANDISE CHARLOTTE";"Total Temps d'antenne";00:09:21;0.27
"MELENCHON JEAN LUC";Candidat;02:38:27;11.23
"MELENCHON JEAN LUC";Soutiens;03:47:48;13.24
"MELENCHON JEAN LUC";"Total Temps de parole";06:26:15;12.34
"MELENCHON JEAN LUC";"Total Temps d'antenne";06:50:22;11.67
"PECRESSE VALERIE";Candidat;02:03:53;8.78
"PECRESSE VALERIE";Soutiens;06:24:31;22.35
"PECRESSE VALERIE";"Total Temps de parole";08:28:24;16.24
"PECRESSE VALERIE";"Total Temps d'antenne";09:01:11;15.39
"PHILIPPOT FLORIAN";Candidat;00:03:24;0.24
"PHILIPPOT FLORIAN";Soutiens;00:00:00;-
"PHILIPPOT FLORIAN";"Total Temps de parole";00:03:24;0.11
"PHILIPPOT FLORIAN";"Total Temps d'antenne";00:03:24;0.10
"ROCCA MARTIN";Candidat;00:04:05;0.29
"ROCCA MARTIN";Soutiens;00:00:00;-
"ROCCA MARTIN";"Total Temps de parole";00:04:05;0.13
"ROCCA MARTIN";"Total Temps d'antenne";00:04:05;0.12
"ROUSSEL FABIEN";Candidat;01:37:01;6.88
"ROUSSEL FABIEN";Soutiens;00:43:29;2.53
"ROUSSEL FABIEN";"Total Temps de parole";02:20:30;4.49
"ROUSSEL FABIEN";"Total Temps d'antenne";03:12:43;5.48
"TAUBIRA CHRISTIANE";Candidat;02:00:44;8.56
"TAUBIRA CHRISTIANE";Soutiens;00:46:09;2.68
"TAUBIRA CHRISTIANE";"Total Temps de parole";02:46:53;5.33
"TAUBIRA CHRISTIANE";"Total Temps d'antenne";03:11:35;5.45
"THOUY HELENE";Candidat;00:27:20;1.94
"THOUY HELENE";Soutiens;00:00:00;-
"THOUY HELENE";"Total Temps de parole";00:27:20;0.87
"THOUY HELENE";"Total Temps d'antenne";00:27:57;0.79
"ZEMMOUR ERIC";Candidat;02:08:19;9.10
"ZEMMOUR ERIC";Soutiens;02:40:59;9.36
"ZEMMOUR ERIC";"Total Temps de parole";04:49:18;9.24
"ZEMMOUR ERIC";"Total Temps d'antenne";05:29:30;9.37
