
Election présidentielle 2022
Période du 1er janvier au 13 février 2022
Temps de parole sur LCI

Candidat;"Détail des temps";"Total période (durée)";"Total période (%)"
"ARTHAUD NATHALIE";Candidat;00:16:46;0.57
"ARTHAUD NATHALIE";Soutiens;00:00:00;-
"ARTHAUD NATHALIE";"Total Temps de parole";00:16:46;0.23
"ARTHAUD NATHALIE";"Total Temps d'antenne";00:19:38;0.14
"CAU MARIE";Candidat;00:09:13;0.31
"CAU MARIE";Soutiens;00:00:00;-
"CAU MARIE";"Total Temps de parole";00:09:13;0.12
"CAU MARIE";"Total Temps d'antenne";00:10:10;0.07
"DUPONT AIGNAN NICOLAS";Candidat;02:41:20;5.48
"DUPONT AIGNAN NICOLAS";Soutiens;00:00:00;-
"DUPONT AIGNAN NICOLAS";"Total Temps de parole";02:41:20;2.17
"DUPONT AIGNAN NICOLAS";"Total Temps d'antenne";03:10:39;1.33
"HIDALGO ANNE";Candidat;02:26:59;4.99
"HIDALGO ANNE";Soutiens;01:45:44;2.35
"HIDALGO ANNE";"Total Temps de parole";04:12:43;3.39
"HIDALGO ANNE";"Total Temps d'antenne";07:07:47;2.98
"JADOT YANNICK";Candidat;05:27:16;11.12
"JADOT YANNICK";Soutiens;02:22:24;3.16
"JADOT YANNICK";"Total Temps de parole";07:49:40;6.31
"JADOT YANNICK";"Total Temps d'antenne";11:24:54;4.77
"KOENIG GASPARD";Candidat;00:01:10;0.04
"KOENIG GASPARD";Soutiens;00:00:00;-
"KOENIG GASPARD";"Total Temps de parole";00:01:10;0.02
"KOENIG GASPARD";"Total Temps d'antenne";00:05:09;0.04
"LASSALLE JEAN";Candidat;00:00:37;0.02
"LASSALLE JEAN";Soutiens;00:00:00;-
"LASSALLE JEAN";"Total Temps de parole";00:00:37;0.01
"LASSALLE JEAN";"Total Temps d'antenne";00:01:16;0.01
"LE PEN MARINE";Candidat;06:11:08;12.61
"LE PEN MARINE";Soutiens;17:44:41;23.63
"LE PEN MARINE";"Total Temps de parole";23:55:49;19.28
"LE PEN MARINE";"Total Temps d'antenne";43:31:03;18.20
"MACRON EMMANUEL";Candidat;02:56:15;5.99
"MACRON EMMANUEL";Soutiens;16:29:18;21.96
"MACRON EMMANUEL";"Total Temps de parole";19:25:33;15.65
"MACRON EMMANUEL";"Total Temps d'antenne";45:34:30;19.06
"MELENCHON JEAN LUC";Candidat;06:35:05;13.42
"MELENCHON JEAN LUC";Soutiens;04:43:31;6.29
"MELENCHON JEAN LUC";"Total Temps de parole";11:18:36;9.11
"MELENCHON JEAN LUC";"Total Temps d'antenne";16:17:03;6.81
"MONTEBOURG ARNAUD";Candidat;00:00:27;0.02
"MONTEBOURG ARNAUD";Soutiens;00:00:00;-
"MONTEBOURG ARNAUD";"Total Temps de parole";00:00:27;0.01
"MONTEBOURG ARNAUD";"Total Temps d'antenne";00:06:21;0.04
"PECRESSE VALERIE";Candidat;06:03:05;12.34
"PECRESSE VALERIE";Soutiens;18:19:00;24.39
"PECRESSE VALERIE";"Total Temps de parole";24:22:05;19.63
"PECRESSE VALERIE";"Total Temps d'antenne";49:53:36;20.87
"PHILIPPOT FLORIAN";Candidat;00:22:26;0.76
"PHILIPPOT FLORIAN";Soutiens;00:00:00;-
"PHILIPPOT FLORIAN";"Total Temps de parole";00:22:26;0.30
"PHILIPPOT FLORIAN";"Total Temps d'antenne";00:26:19;0.18
"POUTOU PHILIPPE";Candidat;00:02:14;0.08
"POUTOU PHILIPPE";Soutiens;00:00:02;-
"POUTOU PHILIPPE";"Total Temps de parole";00:02:16;0.03
"POUTOU PHILIPPE";"Total Temps d'antenne";00:05:56;0.04
"ROCCA MARTIN";Candidat;00:09:25;0.32
"ROCCA MARTIN";Soutiens;00:00:00;-
"ROCCA MARTIN";"Total Temps de parole";00:09:25;0.13
"ROCCA MARTIN";"Total Temps d'antenne";00:09:52;0.07
"ROUSSEL FABIEN";Candidat;04:57:34;10.11
"ROUSSEL FABIEN";Soutiens;01:18:13;1.74
"ROUSSEL FABIEN";"Total Temps de parole";06:15:47;5.05
"ROUSSEL FABIEN";"Total Temps d'antenne";10:01:46;4.19
"TAUBIRA CHRISTIANE";Candidat;01:25:57;2.92
"TAUBIRA CHRISTIANE";Soutiens;00:08:07;0.18
"TAUBIRA CHRISTIANE";"Total Temps de parole";01:34:04;1.26
"TAUBIRA CHRISTIANE";"Total Temps d'antenne";05:35:18;2.34
"THOUY HELENE";Candidat;00:11:10;0.38
"THOUY HELENE";Soutiens;00:00:00;-
"THOUY HELENE";"Total Temps de parole";00:11:10;0.15
"THOUY HELENE";"Total Temps d'antenne";00:16:49;0.12
"ZEMMOUR ERIC";Candidat;09:04:47;18.51
"ZEMMOUR ERIC";Soutiens;12:14:27;16.30
"ZEMMOUR ERIC";"Total Temps de parole";21:19:14;17.17
"ZEMMOUR ERIC";"Total Temps d'antenne";44:48:51;18.74
