
Election présidentielle 2022
Période du 1er janvier au 13 février 2022
Temps de parole sur M6

Candidat;"Détail des temps";"Total période (durée)";"Total période (%)"
"ARTHAUD NATHALIE";Candidat;00:00:18;1.48
"ARTHAUD NATHALIE";Soutiens;00:00:00;-
"ARTHAUD NATHALIE";"Total Temps de parole";00:00:18;1.16
"ARTHAUD NATHALIE";"Total Temps d'antenne";00:00:48;0.94
"DUPONT AIGNAN NICOLAS";Candidat;00:00:09;0.74
"DUPONT AIGNAN NICOLAS";Soutiens;00:00:00;-
"DUPONT AIGNAN NICOLAS";"Total Temps de parole";00:00:09;0.58
"DUPONT AIGNAN NICOLAS";"Total Temps d'antenne";00:00:12;0.24
"HIDALGO ANNE";Candidat;00:01:29;7.30
"HIDALGO ANNE";Soutiens;00:00:00;-
"HIDALGO ANNE";"Total Temps de parole";00:01:29;5.73
"HIDALGO ANNE";"Total Temps d'antenne";00:03:21;3.94
"JADOT YANNICK";Candidat;00:02:07;10.42
"JADOT YANNICK";Soutiens;00:00:16;4.78
"JADOT YANNICK";"Total Temps de parole";00:02:23;9.20
"JADOT YANNICK";"Total Temps d'antenne";00:07:02;8.27
"LARROUTUROU PIERRE";Candidat;00:00:16;1.31
"LARROUTUROU PIERRE";Soutiens;00:00:00;-
"LARROUTUROU PIERRE";"Total Temps de parole";00:00:16;1.03
"LARROUTUROU PIERRE";"Total Temps d'antenne";00:00:37;0.72
"LE PEN MARINE";Candidat;00:03:22;16.57
"LE PEN MARINE";Soutiens;00:01:42;30.45
"LE PEN MARINE";"Total Temps de parole";00:05:04;19.56
"LE PEN MARINE";"Total Temps d'antenne";00:12:18;14.46
"MACRON EMMANUEL";Candidat;00:02:37;12.88
"MACRON EMMANUEL";Soutiens;00:00:38;11.34
"MACRON EMMANUEL";"Total Temps de parole";00:03:15;12.55
"MACRON EMMANUEL";"Total Temps d'antenne";00:16:22;19.24
"MELENCHON JEAN LUC";Candidat;00:02:58;14.60
"MELENCHON JEAN LUC";Soutiens;00:00:09;2.69
"MELENCHON JEAN LUC";"Total Temps de parole";00:03:07;12.03
"MELENCHON JEAN LUC";"Total Temps d'antenne";00:08:08;9.56
"MONTEBOURG ARNAUD";Candidat;00:00:00;-
"MONTEBOURG ARNAUD";Soutiens;00:00:00;-
"MONTEBOURG ARNAUD";"Total Temps de parole";00:00:00;-
"MONTEBOURG ARNAUD";"Total Temps d'antenne";00:00:32;0.63
"PECRESSE VALERIE";Candidat;00:01:43;8.45
"PECRESSE VALERIE";Soutiens;00:00:54;16.12
"PECRESSE VALERIE";"Total Temps de parole";00:02:37;10.10
"PECRESSE VALERIE";"Total Temps d'antenne";00:10:30;12.34
"PHILIPPOT FLORIAN";Candidat;00:00:16;1.31
"PHILIPPOT FLORIAN";Soutiens;00:00:00;-
"PHILIPPOT FLORIAN";"Total Temps de parole";00:00:16;1.03
"PHILIPPOT FLORIAN";"Total Temps d'antenne";00:00:20;0.39
"POUTOU PHILIPPE";Candidat;00:00:22;1.80
"POUTOU PHILIPPE";Soutiens;00:00:00;-
"POUTOU PHILIPPE";"Total Temps de parole";00:00:22;1.42
"POUTOU PHILIPPE";"Total Temps d'antenne";00:00:47;0.92
"ROUSSEL FABIEN";Candidat;00:01:05;5.33
"ROUSSEL FABIEN";Soutiens;00:00:14;4.18
"ROUSSEL FABIEN";"Total Temps de parole";00:01:19;5.08
"ROUSSEL FABIEN";"Total Temps d'antenne";00:03:21;3.94
"TAUBIRA CHRISTIANE";Candidat;00:01:32;7.55
"TAUBIRA CHRISTIANE";Soutiens;00:00:35;10.45
"TAUBIRA CHRISTIANE";"Total Temps de parole";00:02:07;8.17
"TAUBIRA CHRISTIANE";"Total Temps d'antenne";00:08:04;9.48
"THOUY HELENE";Candidat;00:00:20;1.64
"THOUY HELENE";Soutiens;00:00:00;-
"THOUY HELENE";"Total Temps de parole";00:00:20;1.29
"THOUY HELENE";"Total Temps d'antenne";00:00:42;0.82
"ZEMMOUR ERIC";Candidat;00:01:45;8.61
"ZEMMOUR ERIC";Soutiens;00:01:07;20.00
"ZEMMOUR ERIC";"Total Temps de parole";00:02:52;11.07
"ZEMMOUR ERIC";"Total Temps d'antenne";00:12:00;14.11
