
Election présidentielle 2022
Période du 1er janvier au 13 février 2022
Temps de parole sur RMC Découverte

Candidat;"Détail des temps";"Total période (durée)";"Total période (%)"
"JADOT YANNICK";Candidat;00:01:43;53.93
"JADOT YANNICK";Soutiens;00:00:00;-
"JADOT YANNICK";"Total Temps de parole";00:01:43;19.18
"JADOT YANNICK";"Total Temps d'antenne";00:06:32;17.62
"MACRON EMMANUEL";Candidat;00:00:00;-
"MACRON EMMANUEL";Soutiens;00:03:59;69.08
"MACRON EMMANUEL";"Total Temps de parole";00:03:59;44.51
"MACRON EMMANUEL";"Total Temps d'antenne";00:14:40;39.55
"PECRESSE VALERIE";Candidat;00:00:00;-
"PECRESSE VALERIE";Soutiens;00:01:47;30.92
"PECRESSE VALERIE";"Total Temps de parole";00:01:47;19.93
"PECRESSE VALERIE";"Total Temps d'antenne";00:09:03;24.40
"ROUSSEL FABIEN";Candidat;00:00:52;27.23
"ROUSSEL FABIEN";Soutiens;00:00:00;-
"ROUSSEL FABIEN";"Total Temps de parole";00:00:52;9.68
"ROUSSEL FABIEN";"Total Temps d'antenne";00:00:52;2.34
"ZEMMOUR ERIC";Candidat;00:00:36;18.85
"ZEMMOUR ERIC";Soutiens;00:00:00;-
"ZEMMOUR ERIC";"Total Temps de parole";00:00:36;6.70
"ZEMMOUR ERIC";"Total Temps d'antenne";00:05:58;16.09
