
Election présidentielle 2022
Période du 1er janvier au 13 février 2022
Temps de parole sur RMC Story

Candidat;"Détail des temps";"Total période (durée)";"Total période (%)"
"ARTHAUD NATHALIE";Candidat;00:00:33;0.43
"ARTHAUD NATHALIE";Soutiens;00:00:00;-
"ARTHAUD NATHALIE";"Total Temps de parole";00:00:33;0.11
"ARTHAUD NATHALIE";"Total Temps d'antenne";00:00:33;0.09
"ASSELINEAU FRANCOIS";Candidat;00:00:00;-
"ASSELINEAU FRANCOIS";Soutiens;00:03:05;0.86
"ASSELINEAU FRANCOIS";"Total Temps de parole";00:03:05;0.63
"ASSELINEAU FRANCOIS";"Total Temps d'antenne";00:03:05;0.49
"DUPONT AIGNAN NICOLAS";Candidat;00:00:52;0.68
"DUPONT AIGNAN NICOLAS";Soutiens;00:00:00;-
"DUPONT AIGNAN NICOLAS";"Total Temps de parole";00:00:52;0.18
"DUPONT AIGNAN NICOLAS";"Total Temps d'antenne";00:00:52;0.14
"HIDALGO ANNE";Candidat;00:04:02;3.19
"HIDALGO ANNE";Soutiens;00:07:02;1.96
"HIDALGO ANNE";"Total Temps de parole";00:11:04;2.28
"HIDALGO ANNE";"Total Temps d'antenne";00:17:34;2.79
"JADOT YANNICK";Candidat;00:06:53;5.44
"JADOT YANNICK";Soutiens;00:26:09;7.28
"JADOT YANNICK";"Total Temps de parole";00:33:02;6.80
"JADOT YANNICK";"Total Temps d'antenne";00:34:37;5.49
"LASSALLE JEAN";Candidat;00:01:22;1.08
"LASSALLE JEAN";Soutiens;00:00:00;-
"LASSALLE JEAN";"Total Temps de parole";00:01:22;0.28
"LASSALLE JEAN";"Total Temps d'antenne";00:01:22;0.22
"LE PEN MARINE";Candidat;00:04:31;3.57
"LE PEN MARINE";Soutiens;00:32:03;8.92
"LE PEN MARINE";"Total Temps de parole";00:36:34;7.53
"LE PEN MARINE";"Total Temps d'antenne";01:01:38;9.77
"MACRON EMMANUEL";Candidat;00:01:19;1.04
"MACRON EMMANUEL";Soutiens;01:20:35;22.43
"MACRON EMMANUEL";"Total Temps de parole";01:21:54;16.86
"MACRON EMMANUEL";"Total Temps d'antenne";02:00:18;19.07
"MARCHANDISE CHARLOTTE";Candidat;00:00:00;-
"MARCHANDISE CHARLOTTE";Soutiens;00:00:00;-
"MARCHANDISE CHARLOTTE";"Total Temps de parole";00:00:00;-
"MARCHANDISE CHARLOTTE";"Total Temps d'antenne";00:02:24;0.38
"MELENCHON JEAN LUC";Candidat;00:09:47;7.73
"MELENCHON JEAN LUC";Soutiens;00:45:02;12.53
"MELENCHON JEAN LUC";"Total Temps de parole";00:54:49;11.28
"MELENCHON JEAN LUC";"Total Temps d'antenne";01:13:47;11.70
"PECRESSE VALERIE";Candidat;00:07:38;6.03
"PECRESSE VALERIE";Soutiens;01:02:41;17.45
"PECRESSE VALERIE";"Total Temps de parole";01:10:19;14.47
"PECRESSE VALERIE";"Total Temps d'antenne";01:22:26;13.07
"PHILIPPOT FLORIAN";Candidat;00:05:45;4.54
"PHILIPPOT FLORIAN";Soutiens;00:00:00;-
"PHILIPPOT FLORIAN";"Total Temps de parole";00:05:45;1.18
"PHILIPPOT FLORIAN";"Total Temps d'antenne";00:05:45;0.91
"POUTOU PHILIPPE";Candidat;00:21:24;16.91
"POUTOU PHILIPPE";Soutiens;00:09:56;2.76
"POUTOU PHILIPPE";"Total Temps de parole";00:31:20;6.45
"POUTOU PHILIPPE";"Total Temps d'antenne";00:32:13;5.11
"ROUSSEL FABIEN";Candidat;00:41:42;32.96
"ROUSSEL FABIEN";Soutiens;00:01:28;0.41
"ROUSSEL FABIEN";"Total Temps de parole";00:43:10;8.89
"ROUSSEL FABIEN";"Total Temps d'antenne";00:59:53;9.49
"TAUBIRA CHRISTIANE";Candidat;00:03:55;3.10
"TAUBIRA CHRISTIANE";Soutiens;00:05:39;1.57
"TAUBIRA CHRISTIANE";"Total Temps de parole";00:09:34;1.97
"TAUBIRA CHRISTIANE";"Total Temps d'antenne";00:12:08;1.92
"THOUY HELENE";Candidat;00:05:08;4.06
"THOUY HELENE";Soutiens;00:00:00;-
"THOUY HELENE";"Total Temps de parole";00:05:08;1.06
"THOUY HELENE";"Total Temps d'antenne";00:05:08;0.81
"ZEMMOUR ERIC";Candidat;00:11:41;9.23
"ZEMMOUR ERIC";Soutiens;01:25:38;23.83
"ZEMMOUR ERIC";"Total Temps de parole";01:37:19;20.03
"ZEMMOUR ERIC";"Total Temps d'antenne";01:57:02;18.55
