
Election présidentielle 2022
Période du 1er janvier au 13 février 2022
Temps de parole sur RT France

Candidat;"Détail des temps";"Total période (durée)";"Total période (%)"
"ARTHAUD NATHALIE";Candidat;00:00:00;-
"ARTHAUD NATHALIE";Soutiens;00:00:00;-
"ARTHAUD NATHALIE";"Total Temps de parole";00:00:00;-
"ARTHAUD NATHALIE";"Total Temps d'antenne";00:05:13;0.35
"DUPONT AIGNAN NICOLAS";Candidat;00:08:14;5.68
"DUPONT AIGNAN NICOLAS";Soutiens;00:00:00;-
"DUPONT AIGNAN NICOLAS";"Total Temps de parole";00:08:14;1.37
"DUPONT AIGNAN NICOLAS";"Total Temps d'antenne";00:10:08;0.68
"EGGER CLARA";Candidat;00:00:00;-
"EGGER CLARA";Soutiens;00:00:00;-
"EGGER CLARA";"Total Temps de parole";00:00:00;-
"EGGER CLARA";"Total Temps d'antenne";00:03:36;0.24
"HIDALGO ANNE";Candidat;00:09:08;6.30
"HIDALGO ANNE";Soutiens;00:20:04;4.41
"HIDALGO ANNE";"Total Temps de parole";00:29:12;4.87
"HIDALGO ANNE";"Total Temps d'antenne";01:14:47;5.04
"JADOT YANNICK";Candidat;00:11:04;7.63
"JADOT YANNICK";Soutiens;00:17:26;3.83
"JADOT YANNICK";"Total Temps de parole";00:28:30;4.75
"JADOT YANNICK";"Total Temps d'antenne";00:56:22;3.80
"KUZMANOVIC GEORGES";Candidat;00:00:00;-
"KUZMANOVIC GEORGES";Soutiens;00:00:00;-
"KUZMANOVIC GEORGES";"Total Temps de parole";00:00:00;-
"KUZMANOVIC GEORGES";"Total Temps d'antenne";00:00:20;0.02
"LANGLOIS ALEXANDRE";Candidat;00:01:24;0.97
"LANGLOIS ALEXANDRE";Soutiens;00:00:00;-
"LANGLOIS ALEXANDRE";"Total Temps de parole";00:01:24;0.23
"LANGLOIS ALEXANDRE";"Total Temps d'antenne";00:01:24;0.09
"LE PEN MARINE";Candidat;00:17:26;12.02
"LE PEN MARINE";Soutiens;01:18:31;17.26
"LE PEN MARINE";"Total Temps de parole";01:35:57;15.99
"LE PEN MARINE";"Total Temps d'antenne";03:24:26;13.77
"MACRON EMMANUEL";Candidat;00:03:16;2.25
"MACRON EMMANUEL";Soutiens;01:42:10;22.46
"MACRON EMMANUEL";"Total Temps de parole";01:45:26;17.57
"MACRON EMMANUEL";"Total Temps d'antenne";05:34:51;22.56
"MELENCHON JEAN LUC";Candidat;00:15:04;10.39
"MELENCHON JEAN LUC";Soutiens;00:24:36;5.41
"MELENCHON JEAN LUC";"Total Temps de parole";00:39:40;6.61
"MELENCHON JEAN LUC";"Total Temps d'antenne";01:49:01;7.34
"MONTEBOURG ARNAUD";Candidat;00:00:00;-
"MONTEBOURG ARNAUD";Soutiens;00:02:43;0.60
"MONTEBOURG ARNAUD";"Total Temps de parole";00:02:43;0.45
"MONTEBOURG ARNAUD";"Total Temps d'antenne";00:10:04;0.68
"PECRESSE VALERIE";Candidat;00:16:15;11.20
"PECRESSE VALERIE";Soutiens;01:47:10;23.56
"PECRESSE VALERIE";"Total Temps de parole";02:03:25;20.57
"PECRESSE VALERIE";"Total Temps d'antenne";05:04:43;20.53
"PHILIPPOT FLORIAN";Candidat;00:18:17;12.60
"PHILIPPOT FLORIAN";Soutiens;00:00:00;-
"PHILIPPOT FLORIAN";"Total Temps de parole";00:18:17;3.05
"PHILIPPOT FLORIAN";"Total Temps d'antenne";00:41:14;2.78
"POUTOU PHILIPPE";Candidat;00:00:00;-
"POUTOU PHILIPPE";Soutiens;00:00:00;-
"POUTOU PHILIPPE";"Total Temps de parole";00:00:00;-
"POUTOU PHILIPPE";"Total Temps d'antenne";00:03:11;0.21
"ROUSSEL FABIEN";Candidat;00:05:25;3.73
"ROUSSEL FABIEN";Soutiens;00:24:32;5.39
"ROUSSEL FABIEN";"Total Temps de parole";00:29:57;4.99
"ROUSSEL FABIEN";"Total Temps d'antenne";01:15:06;5.06
"TAUBIRA CHRISTIANE";Candidat;00:25:45;17.75
"TAUBIRA CHRISTIANE";Soutiens;00:00:00;-
"TAUBIRA CHRISTIANE";"Total Temps de parole";00:25:45;4.29
"TAUBIRA CHRISTIANE";"Total Temps d'antenne";01:14:23;5.01
"ZEMMOUR ERIC";Candidat;00:13:45;9.48
"ZEMMOUR ERIC";Soutiens;01:17:45;17.09
"ZEMMOUR ERIC";"Total Temps de parole";01:31:30;15.25
"ZEMMOUR ERIC";"Total Temps d'antenne";02:55:28;11.82
