
Election présidentielle 2022
Période du 1er janvier au 13 février 2022
Temps de parole sur TF1

Candidat;"Détail des temps";"Total période (durée)";"Total période (%)"
"ARTHAUD NATHALIE";Candidat;00:02:06;2.41
"ARTHAUD NATHALIE";Soutiens;00:00:33;1.84
"ARTHAUD NATHALIE";"Total Temps de parole";00:02:39;2.26
"ARTHAUD NATHALIE";"Total Temps d'antenne";00:04:05;2.04
"ASSELINEAU FRANCOIS";Candidat;00:00:13;0.25
"ASSELINEAU FRANCOIS";Soutiens;00:00:00;-
"ASSELINEAU FRANCOIS";"Total Temps de parole";00:00:13;0.18
"ASSELINEAU FRANCOIS";"Total Temps d'antenne";00:00:20;0.17
"DUPONT AIGNAN NICOLAS";Candidat;00:03:32;4.05
"DUPONT AIGNAN NICOLAS";Soutiens;00:00:24;1.33
"DUPONT AIGNAN NICOLAS";"Total Temps de parole";00:03:56;3.36
"DUPONT AIGNAN NICOLAS";"Total Temps d'antenne";00:05:38;2.81
"HIDALGO ANNE";Candidat;00:02:13;2.54
"HIDALGO ANNE";Soutiens;00:02:20;7.79
"HIDALGO ANNE";"Total Temps de parole";00:04:33;3.88
"HIDALGO ANNE";"Total Temps d'antenne";00:06:52;3.43
"JADOT YANNICK";Candidat;00:11:22;13.03
"JADOT YANNICK";Soutiens;00:00:00;-
"JADOT YANNICK";"Total Temps de parole";00:11:22;9.70
"JADOT YANNICK";"Total Temps d'antenne";00:18:36;9.28
"KOENIG GASPARD";Candidat;00:00:16;0.31
"KOENIG GASPARD";Soutiens;00:00:00;-
"KOENIG GASPARD";"Total Temps de parole";00:00:16;0.23
"KOENIG GASPARD";"Total Temps d'antenne";00:00:29;0.24
"LASSALLE JEAN";Candidat;00:00:18;0.34
"LASSALLE JEAN";Soutiens;00:00:00;-
"LASSALLE JEAN";"Total Temps de parole";00:00:18;0.26
"LASSALLE JEAN";"Total Temps d'antenne";00:00:31;0.26
"LE PEN MARINE";Candidat;00:16:28;18.87
"LE PEN MARINE";Soutiens;00:02:51;9.51
"LE PEN MARINE";"Total Temps de parole";00:19:19;16.48
"LE PEN MARINE";"Total Temps d'antenne";00:33:42;16.82
"MACRON EMMANUEL";Candidat;00:02:24;2.75
"MACRON EMMANUEL";Soutiens;00:08:39;28.87
"MACRON EMMANUEL";"Total Temps de parole";00:11:03;9.43
"MACRON EMMANUEL";"Total Temps d'antenne";00:23:51;11.90
"MELENCHON JEAN LUC";Candidat;00:14:56;17.12
"MELENCHON JEAN LUC";Soutiens;00:01:50;6.12
"MELENCHON JEAN LUC";"Total Temps de parole";00:16:46;14.30
"MELENCHON JEAN LUC";"Total Temps d'antenne";00:28:52;14.41
"MONTEBOURG ARNAUD";Candidat;00:00:27;0.52
"MONTEBOURG ARNAUD";Soutiens;00:00:00;-
"MONTEBOURG ARNAUD";"Total Temps de parole";00:00:27;0.38
"MONTEBOURG ARNAUD";"Total Temps d'antenne";00:00:37;0.31
"PECRESSE VALERIE";Candidat;00:12:07;13.89
"PECRESSE VALERIE";Soutiens;00:05:02;16.80
"PECRESSE VALERIE";"Total Temps de parole";00:17:09;14.63
"PECRESSE VALERIE";"Total Temps d'antenne";00:26:09;13.05
"PHILIPPOT FLORIAN";Candidat;00:00:18;0.34
"PHILIPPOT FLORIAN";Soutiens;00:00:00;-
"PHILIPPOT FLORIAN";"Total Temps de parole";00:00:18;0.26
"PHILIPPOT FLORIAN";"Total Temps d'antenne";00:00:24;0.20
"POUTOU PHILIPPE";Candidat;00:00:12;0.23
"POUTOU PHILIPPE";Soutiens;00:00:00;-
"POUTOU PHILIPPE";"Total Temps de parole";00:00:12;0.17
"POUTOU PHILIPPE";"Total Temps d'antenne";00:00:25;0.21
"ROUSSEL FABIEN";Candidat;00:06:18;7.22
"ROUSSEL FABIEN";Soutiens;00:00:26;1.45
"ROUSSEL FABIEN";"Total Temps de parole";00:06:44;5.74
"ROUSSEL FABIEN";"Total Temps d'antenne";00:08:16;4.13
"TAUBIRA CHRISTIANE";Candidat;00:01:57;2.23
"TAUBIRA CHRISTIANE";Soutiens;00:00:26;1.45
"TAUBIRA CHRISTIANE";"Total Temps de parole";00:02:23;2.03
"TAUBIRA CHRISTIANE";"Total Temps d'antenne";00:05:31;2.75
"THOUY HELENE";Candidat;00:00:38;0.73
"THOUY HELENE";Soutiens;00:00:03;0.17
"THOUY HELENE";"Total Temps de parole";00:00:41;0.58
"THOUY HELENE";"Total Temps d'antenne";00:02:34;1.28
"ZEMMOUR ERIC";Candidat;00:11:30;13.18
"ZEMMOUR ERIC";Soutiens;00:07:24;24.69
"ZEMMOUR ERIC";"Total Temps de parole";00:18:54;16.12
"ZEMMOUR ERIC";"Total Temps d'antenne";00:33:31;16.73
