Candidat,duration,channel
ARTHAUD NATHALIE,84,M6
DUPONT AIGNAN NICOLAS,30,M6
HIDALGO ANNE,379,M6
JADOT YANNICK,708,M6
LARROUTUROU PIERRE,69,M6
LE PEN MARINE,1346,M6
MACRON EMMANUEL,1372,M6
MELENCHON JEAN LUC,862,M6
MONTEBOURG ARNAUD,32,M6
PECRESSE VALERIE,944,M6
PHILIPPOT FLORIAN,52,M6
POUTOU PHILIPPE,91,M6
ROUSSEL FABIEN,359,M6
TAUBIRA CHRISTIANE,738,M6
THOUY HELENE,82,M6
ZEMMOUR ERIC,1064,M6
ARTHAUD NATHALIE,933,Cnews
ASSELINEAU FRANCOIS,516,Cnews
DUPONT AIGNAN NICOLAS,18626,Cnews
HIDALGO ANNE,93656,Cnews
JADOT YANNICK,81321,Cnews
KOENIG GASPARD,7408,Cnews
KUZMANOVIC GEORGES,1941,Cnews
LARROUTUROU PIERRE,1230,Cnews
LASSALLE JEAN,1279,Cnews
LE PEN MARINE,282696,Cnews
MACRON EMMANUEL,329752,Cnews
MELENCHON JEAN LUC,155223,Cnews
MONTEBOURG ARNAUD,2967,Cnews
PECRESSE VALERIE,299769,Cnews
PHILIPPOT FLORIAN,12677,Cnews
POUTOU PHILIPPE,4452,Cnews
ROUSSEL FABIEN,50601,Cnews
TAUBIRA CHRISTIANE,26561,Cnews
THOUY HELENE,5119,Cnews
ZEMMOUR ERIC,227206,Cnews
ARTHAUD NATHALIE,99,RMC Story
ASSELINEAU FRANCOIS,555,RMC Story
DUPONT AIGNAN NICOLAS,156,RMC Story
HIDALGO ANNE,2382,RMC Story
JADOT YANNICK,6041,RMC Story
LASSALLE JEAN,246,RMC Story
LE PEN MARINE,8086,RMC Story
MACRON EMMANUEL,17046,RMC Story
MARCHANDISE CHARLOTTE,144,RMC Story
MELENCHON JEAN LUC,11005,RMC Story
PECRESSE VALERIE,13384,RMC Story
PHILIPPOT FLORIAN,1035,RMC Story
POUTOU PHILIPPE,5693,RMC Story
ROUSSEL FABIEN,8773,RMC Story
TAUBIRA CHRISTIANE,1876,RMC Story
THOUY HELENE,924,RMC Story
ZEMMOUR ERIC,18700,RMC Story
ARTHAUD NATHALIE,5073,France 24
DUPONT AIGNAN NICOLAS,5539,France 24
HIDALGO ANNE,11848,France 24
JADOT YANNICK,12574,France 24
LARROUTUROU PIERRE,24,France 24
LE PEN MARINE,15550,France 24
MACRON EMMANUEL,41358,France 24
MELENCHON JEAN LUC,15772,France 24
PECRESSE VALERIE,15433,France 24
ROUSSEL FABIEN,7474,France 24
TAUBIRA CHRISTIANE,10076,France 24
ZEMMOUR ERIC,9010,France 24
ARTHAUD NATHALIE,87,France 2
ASSELINEAU FRANCOIS,1928,France 2
DUPONT AIGNAN NICOLAS,4732,France 2
HIDALGO ANNE,7505,France 2
JADOT YANNICK,4519,France 2
KAZIB ANASSE,139,France 2
KOENIG GASPARD,1941,France 2
