url,homePosition,ytkids,type,insertionDate,refreshNB,regionAllowed,author,watchTime,actionNB,videoViewsNB,parent_id
Q7Q8CtI9HaE,0.0,NA,homepage,2022-06-17T07:34:39.192Z,0.0,,FreeDawkins,0.0,0,0,
36YnV9STBqc,1.0,NA,homepage,2022-06-17T07:34:39.222Z,0.0,,The Good Life Radio x Sensual Musique,0.0,0,0,
6-rHbWq7jto,2.0,NA,homepage,2022-06-17T07:34:39.233Z,0.0,,The Late Show with Stephen Colbert,0.0,0,0,
gmcZ7oFZm90,3.0,NA,homepage,2022-06-17T07:34:39.257Z,0.0,,Wankil Studio - Laink et Terracid,0.0,0,0,
U6OUbLG7S1o,4.0,NA,homepage,2022-06-17T07:34:39.290Z,0.0,,Salam | سلام,0.0,0,0,
kl1h-IgrAZU,5.0,NA,homepage,2022-06-17T07:34:39.301Z,0.0,,Paling Imut,0.0,0,0,
AEHTde32NZY,6.0,NA,homepage,2022-06-17T07:34:39.311Z,0.0,,Fred Van Long,0.0,0,0,
J5soBCRafc8,7.0,NA,homepage,2022-06-17T07:34:39.323Z,0.0,,Ça commence aujourd'hui,0.0,0,0,
sLTvQnjEkRU,8.0,NA,homepage,2022-06-17T07:34:39.332Z,0.0,,The World of Boxing!,0.0,0,0,
g9S2JrvftrY,9.0,NA,homepage,2022-06-17T07:34:39.341Z,0.0,,SQUEEZIE,0.0,0,0,
m8wcMyZUT-c,10.0,NA,homepage,2022-06-17T07:34:39.348Z,0.0,,Scilabus,0.0,0,0,
_rMZt292mJc,11.0,NA,homepage,2022-06-17T07:34:39.357Z,0.0,,Relax Music,0.0,0,0,
eizMA9Nk-5Q,12.0,NA,homepage,2022-06-17T07:34:39.365Z,0.0,,Aminematue,0.0,0,0,
8EwtTZ4n24I,13.0,NA,homepage,2022-06-17T07:34:39.374Z,0.0,,Pierre Croce,0.0,0,0,
IYZZUjSsOpg,14.0,NA,homepage,2022-06-17T07:34:39.382Z,0.0,,Mcfly et Carlito,0.0,0,0,
bc7HLt9-IuA,15.0,NA,homepage,2022-06-17T07:34:39.391Z,0.0,,Lena Situations,0.0,0,0,
2rlvbyfF0zg,16.0,NA,homepage,2022-06-17T07:34:39.399Z,0.0,,Roger et ses humains,0.0,0,0,
HYxAjLS87o0,17.0,NA,homepage,2022-06-17T07:34:39.407Z,0.0,,Chef Verrecchia,0.0,0,0,
g2-Dd51YL8o,18.0,NA,homepage,2022-06-17T07:34:39.416Z,0.0,,CHRIS,0.0,0,0,
1onBuWFzJMc,19.0,NA,homepage,2022-06-17T07:34:39.428Z,0.0,,Manga Trash,0.0,0,0,
niiiLDnuRgg,20.0,NA,homepage,2022-06-17T07:34:39.437Z,0.0,,Juju Fitcats,0.0,0,0,
OmKGn8C_q-4,21.0,NA,homepage,2022-06-17T07:34:39.445Z,0.0,,Mehdi Maïzi,0.0,0,0,
qp19qVg-PDY,22.0,NA,homepage,2022-06-17T07:34:39.454Z,0.0,,Konbini,0.0,0,0,
Vgv-WBW_eRo,23.0,NA,homepage,2022-06-17T07:34:39.462Z,0.0,,Linca TV,0.0,0,0,
rhfNu52jV9A,24.0,NA,homepage,2022-06-17T07:34:39.471Z,0.0,,BOT EDM,0.0,0,0,
GLNtbkv4pX0,25.0,NA,homepage,2022-06-17T07:34:39.482Z,0.0,,Haa Taa Deep,0.0,0,0,
BGnJtst5fSI,26.0,NA,homepage,2022-06-17T07:34:39.491Z,0.0,,Mastulipe,0.0,0,0,
kc1_lr-KwAs,27.0,NA,homepage,2022-06-17T07:34:39.501Z,0.0,,Mcfly et Carlito,0.0,0,0,
5D8KR6_wPU0,28.0,NA,homepage,2022-06-17T07:34:39.510Z,0.0,,Acoustic Greatest Hits.,0.0,0,0,
fEvM-OUbaKs,29.0,NA,homepage,2022-06-17T07:34:39.518Z,0.0,,BGM channel,0.0,0,0,
mU_pjDI32kw,30.0,NA,homepage,2022-06-17T07:34:39.527Z,0.0,,France Inter,0.0,0,0,
oEmvfTeZ3XY,31.0,NA,homepage,2022-06-17T07:34:39.535Z,0.0,,Midnight Whiskey,0.0,0,0,
eWpjGpGb5tY,32.0,NA,homepage,2022-06-17T07:34:39.544Z,0.0,,روائع فضيلة الشيخ/ عبد الباسط عبد الصمد,0.0,0,0,
p9gpouZp2QA,33.0,NA,homepage,2022-06-17T07:34:39.553Z,0.0,,Miracle Music,0.0,0,0,
FbQB2TvRe0A,34.0,NA,homepage,2022-06-17T07:34:39.561Z,0.0,,Hits Love Songs,0.0,0,0,
5qap5aO4i9A,35.0,NA,homepage,2022-06-17T07:34:39.569Z,0.0,,Lofi Girl,0.0,0,0,
ba3ojTDNIfw,36.0,NA,homepage,2022-06-17T07:34:39.577Z,0.0,,HugoDécrypte - Actus du jour,0.0,0,0,
GkqhHEAy1zw,37.0,NA,homepage,2022-06-17T07:34:39.590Z,0.0,,Cafe Music BGM channel,0.0,0,0,
L2wonwbmTzE,38.0,NA,homepage,2022-06-17T07:34:39.600Z,0.0,,Amixem,0.0,0,0,
FFVYsty9p1M,39.0,NA,homepage,2022-06-17T07:34:39.611Z,0.0,,Relax Soft Music,0.0,0,0,
EBec54KMu58,40.0,NA,homepage,2022-06-17T07:34:39.620Z,0.0,,Omar Hisham Al Arabi,0.0,0,0,
Bo1xf6HhYX4,41.0,NA,homepage,2022-06-17T07:34:39.628Z,0.0,,Booska-P,0.0,0,0,
RG9TMn1FJzc,42.0,NA,homepage,2022-06-17T07:34:39.636Z,0.0,,BBC,0.0,0,0,
5khwmyPItxE,43.0,NA,homepage,2022-06-17T07:34:39.643Z,0.0,,Hooper Highlights,0.0,0,0,
n1WGGQHVnP0,44.0,NA,homepage,2022-06-17T07:34:39.651Z,0.0,,Giolì & Assia,0.0,0,0,
ci6R0898OMU,45.0,NA,homepage,2022-06-17T07:34:39.661Z,0.0,,قناة منوعات إسلامية,0.0,0,0,
oXwNwVMsRi0,46.0,NA,homepage,2022-06-17T07:34:39.670Z,0.0,,Cyprien,0.0,0,0,
9UMxZofMNbA,47.0,NA,homepage,2022-06-17T07:34:39.678Z,0.0,,The Good Life Radio x Sensual Musique,0.0,0,0,
BpwDFKFkpOY,48.0,NA,homepage,2022-06-17T07:34:39.687Z,0.0,,리플레이LEEPLAY,0.0,0,0,
hOWUxl6swO4,49.0,NA,homepage,2022-06-17T07:34:39.695Z,0.0,,KinoCheck.com,0.0,0,0,
xTY0SlyVfCQ,50.0,NA,homepage,2022-06-17T07:34:39.703Z,0.0,,Ghibli Piano Music,0.0,0,0,
mL70C_vav8E,51.0,NA,homepage,2022-06-17T07:34:39.711Z,0.0,,ExtremeSpace,0.0,0,0,
9ftp0hrrIDQ,52.0,NA,homepage,2022-06-17T07:34:39.719Z,0.0,,Vilebrequin,0.0,0,0,
JbyXJO_yin4,53.0,NA,homepage,2022-06-17T07:34:39.727Z,0.0,,KOTSUMET,0.0,0,0,
xFSnkgyicVY,54.0,NA,homepage,2022-06-17T07:34:39.735Z,0.0,,La Vie,0.0,0,0,
CnmOO4eGuto,55.0,NA,homepage,2022-06-17T07:34:39.743Z,0.0,,FLORIAN PHILIPPOT,0.0,0,0,
5zSCWKKnajU,56.0,NA,homepage,2022-06-17T07:34:39.753Z,0.0,,Pop Songs Playlist Remix,0.0,0,0,
w49OQ5aNa8M,57.0,NA,homepage,2022-06-17T07:34:39.761Z,0.0,,Mcfly et Carlito la chaîne secondaire,0.0,0,0,
oerRDDPMFD0,58.0,NA,homepage,2022-06-17T07:34:39.770Z,0.0,,Origines Media,0.0,0,0,
2OEL4P1Rz04,59.0,NA,homepage,2022-06-17T07:34:39.777Z,0.0,,Soothing Relaxation,0.0,0,0,
