url,homePosition,ytkids,type,insertionDate,refreshNB,regionAllowed,author,watchTime,actionNB,videoViewsNB,parent_id
v9WSjE3tIkg,0.0,NA,homepage,2022-06-17T14:47:14.655Z,0.0,,Beast Reacts,0.0,0,0,
ndVxD9u95Z0,1.0,NA,homepage,2022-06-17T14:47:14.738Z,0.0,,Deep Mood.,0.0,0,0,
g9S2JrvftrY,2.0,NA,homepage,2022-06-17T14:47:14.782Z,0.0,,SQUEEZIE,0.0,0,0,
v5pgiXol8I8,3.0,NA,homepage,2022-06-17T14:47:14.818Z,0.0,,Mcfly et Carlito,0.0,0,0,
epUyftXSaXI,4.0,NA,homepage,2022-06-17T14:47:14.859Z,0.0,,Amixem,0.0,0,0,
GJnR2StNHDc,5.0,NA,homepage,2022-06-17T14:47:14.896Z,0.0,,Ryan's World,0.0,0,0,
7cRFmYkNIK0,6.0,NA,homepage,2022-06-17T14:47:14.960Z,0.0,,BFMTV,0.0,0,0,
Pym_mBhBin4,7.0,NA,homepage,2022-06-17T14:47:15.001Z,0.0,,Le Monde à L'Envers,0.0,0,0,
HYxAjLS87o0,8.0,NA,homepage,2022-06-17T14:47:15.045Z,0.0,,Chef Verrecchia,0.0,0,0,
8akwd0B6PZk,9.0,NA,homepage,2022-06-17T14:47:15.095Z,0.0,,Clique TV,0.0,0,0,
bc7HLt9-IuA,10.0,NA,homepage,2022-06-17T14:47:15.167Z,0.0,,Lena Situations,0.0,0,0,
YY_sMHcidAk,11.0,NA,homepage,2022-06-17T14:47:15.223Z,0.0,,Poisson Fécond,0.0,0,0,
d137SkCZws0,12.0,NA,homepage,2022-06-17T14:47:15.295Z,0.0,,Smells Like GASOLINE,0.0,0,0,
g-6FER9ltuA,13.0,NA,homepage,2022-06-17T14:47:15.340Z,0.0,,Benjamin Workshop,0.0,0,0,
wBzRYyWdjCM,14.0,NA,homepage,2022-06-17T14:47:15.390Z,0.0,,Best Of Antoine Daniel,0.0,0,0,
1onBuWFzJMc,15.0,NA,homepage,2022-06-17T14:47:15.438Z,0.0,,Manga Trash,0.0,0,0,
m8wcMyZUT-c,16.0,NA,homepage,2022-06-17T14:47:15.495Z,0.0,,Scilabus,0.0,0,0,
zrjqB0Bpf1E,17.0,NA,homepage,2022-06-17T14:47:15.530Z,0.0,,Mnet K-POP,0.0,0,0,
nKA8cnz9yyo,18.0,NA,homepage,2022-06-17T14:47:15.569Z,0.0,,Mnet K-POP,0.0,0,0,
M9OyO3bTqFg,19.0,NA,homepage,2022-06-17T14:47:15.614Z,0.0,,DORETDEPLATINE,0.0,0,0,
FA7CXRLJMiw,20.0,NA,homepage,2022-06-17T14:47:15.648Z,0.0,,Kati Kleber,0.0,0,0,
