url,homePosition,ytkids,type,insertionDate,refreshNB,regionAllowed,author,watchTime,actionNB,videoViewsNB,parent_id
zE-a5eqvlv8,0.0,NA,homepage,2022-06-16T08:31:58.857Z,0.0,,Deep Mood.,0.0,0,0,
R4bkKkooa-A,1.0,NA,homepage,2022-06-16T08:31:58.876Z,0.0,,HugoDécrypte - Actus du jour,0.0,0,0,
3OLFhg4Rsrs,2.0,NA,homepage,2022-06-16T08:31:58.888Z,0.0,,Tibo InShape,0.0,0,0,
36YnV9STBqc,3.0,NA,homepage,2022-06-16T08:31:58.898Z,0.0,,The Good Life Radio x Sensual Musique,0.0,0,0,
g9S2JrvftrY,4.0,NA,homepage,2022-06-16T08:31:58.907Z,0.0,,SQUEEZIE,0.0,0,0,
5iUVhGLLbXw,5.0,NA,homepage,2022-06-16T08:31:58.917Z,0.0,,Mastu,0.0,0,0,
mL70C_vav8E,6.0,NA,homepage,2022-06-16T08:31:58.926Z,0.0,,ExtremeSpace,0.0,0,0,
fAssPEi5pTs,7.0,NA,homepage,2022-06-16T08:31:58.936Z,0.0,,Michou,0.0,0,0,
wPy6musbUUc,8.0,NA,homepage,2022-06-16T08:31:58.945Z,0.0,,ArtSoccer,0.0,0,0,
oEmvfTeZ3XY,9.0,NA,homepage,2022-06-16T08:31:58.954Z,0.0,,Midnight Whiskey,0.0,0,0,
N5_huaN1mGk,10.0,NA,homepage,2022-06-16T08:31:58.964Z,0.0,,CANAL+,0.0,0,0,
wT1Oy0zRDD8,11.0,NA,homepage,2022-06-16T08:31:58.978Z,0.0,,Amixem,0.0,0,0,
eizMA9Nk-5Q,12.0,NA,homepage,2022-06-16T08:31:58.995Z,0.0,,Aminematue,0.0,0,0,
niiiLDnuRgg,13.0,NA,homepage,2022-06-16T08:31:59.005Z,0.0,,Juju Fitcats,0.0,0,0,
8EwtTZ4n24I,14.0,NA,homepage,2022-06-16T08:31:59.015Z,0.0,,Pierre Croce,0.0,0,0,
j6QOLPmtGjw,15.0,NA,homepage,2022-06-16T08:31:59.027Z,0.0,,Deus Ex Silicium,0.0,0,0,
IYZZUjSsOpg,16.0,NA,homepage,2022-06-16T08:31:59.037Z,0.0,,Mcfly et Carlito,0.0,0,0,
NGlLOqN-7wg,17.0,NA,homepage,2022-06-16T08:31:59.047Z,0.0,,MichouOff,0.0,0,0,
MqMVfqxzc_A,18.0,NA,homepage,2022-06-16T08:31:59.056Z,0.0,,GQ France,0.0,0,0,
Vt0VMsH9ULY,19.0,NA,homepage,2022-06-16T08:31:59.065Z,0.0,,Trash Bandicoot,0.0,0,0,
b5fJNb9k4Cw,20.0,NA,homepage,2022-06-16T08:31:59.074Z,0.0,,francetv slash / talents,0.0,0,0,
dxilIwFECIs,21.0,NA,homepage,2022-06-16T08:31:59.084Z,0.0,,L'ÉQUIPE,0.0,0,0,
chUh1XgXY5M,22.0,NA,homepage,2022-06-16T08:31:59.096Z,0.0,,Pidi,0.0,0,0,
btl-vYT2YtM,23.0,NA,homepage,2022-06-16T08:31:59.106Z,0.0,,Apex Legends,0.0,0,0,
m80E1K75vDI,24.0,NA,homepage,2022-06-16T08:31:59.117Z,0.0,,Quiet Quest - Study Music,0.0,0,0,
5D8KR6_wPU0,25.0,NA,homepage,2022-06-16T08:31:59.127Z,0.0,,Acoustic Greatest Hits.,0.0,0,0,
AfzhfvBCrYQ,26.0,NA,homepage,2022-06-16T08:31:59.138Z,0.0,,Thinkerview,0.0,0,0,
Up97TOUiYbc,27.0,NA,homepage,2022-06-16T08:31:59.148Z,0.0,,ThePrimeThanatos,0.0,0,0,
CjBRBcVMm88,28.0,NA,homepage,2022-06-16T08:31:59.157Z,0.0,,Late Night with Seth Meyers,0.0,0,0,
w8_sP9UVeww,29.0,NA,homepage,2022-06-16T08:31:59.167Z,0.0,,Radio Rock Music,0.0,0,0,
SgW5d1OCD7Q,30.0,NA,homepage,2022-06-16T08:31:59.175Z,0.0,,Investigations et Enquêtes,0.0,0,0,
tCvpPMVZOs0,31.0,NA,homepage,2022-06-16T08:31:59.184Z,0.0,,Sardoche,0.0,0,0,
bc7HLt9-IuA,32.0,NA,homepage,2022-06-16T08:31:59.192Z,0.0,,Lena Situations,0.0,0,0,
5qap5aO4i9A,33.0,NA,homepage,2022-06-16T08:31:59.202Z,0.0,,Lofi Girl,0.0,0,0,
irmjkT-cu9I,34.0,NA,homepage,2022-06-16T08:31:59.210Z,0.0,,JOYCA,0.0,0,0,
eaNj76vkqOY,35.0,NA,homepage,2022-06-16T08:31:59.220Z,0.0,,Montreux Comedy,0.0,0,0,
vTkUlqFqWpc,36.0,NA,homepage,2022-06-16T08:31:59.229Z,0.0,,JAZZ & BLUES,0.0,0,0,
ndVxD9u95Z0,37.0,NA,homepage,2022-06-16T08:31:59.237Z,0.0,,Deep Mood.,0.0,0,0,
Dy7fc6wbINU,38.0,NA,homepage,2022-06-16T08:31:59.249Z,0.0,,Live With Creativity,0.0,0,0,
oerRDDPMFD0,39.0,NA,homepage,2022-06-16T08:31:59.257Z,0.0,,Origines Media,0.0,0,0,
7H7ZzB-fWUg,40.0,NA,homepage,2022-06-16T08:31:59.267Z,0.0,,Le Monde à L'Envers,0.0,0,0,
oXwNwVMsRi0,41.0,NA,homepage,2022-06-16T08:31:59.278Z,0.0,,Cyprien,0.0,0,0,
hOWUxl6swO4,42.0,NA,homepage,2022-06-16T08:31:59.287Z,0.0,,KinoCheck.com,0.0,0,0,
WWxLjAqSM18,43.0,NA,homepage,2022-06-16T08:31:59.296Z,0.0,,FailArmy,0.0,0,0,
QrqVKAPHZjM,44.0,NA,homepage,2022-06-16T08:31:59.304Z,0.0,,SQUEEZIE,0.0,0,0,
3XhVEpSOyTc,45.0,NA,homepage,2022-06-16T08:31:59.312Z,0.0,,Acoustic Greatest Hits.,0.0,0,0,
