url,homePosition,ytkids,type,insertionDate,refreshNB,regionAllowed,author,watchTime,actionNB,videoViewsNB,parent_id
bEbwmJy3xW8,,NA,regular,2024-05-04T19:08:44.034Z,,,Tibo InShape,6000,0,1,
_oBV-SiOl7c,,NA,proposal,2024-05-04T19:08:49.005Z,,,Hugoposé,0,0,1,bEbwmJy3xW8
-cxeGMV-PhM,,NA,proposal,2024-05-04T19:08:50.943Z,,,Tibo InShape,0,0,1,bEbwmJy3xW8
y2vxx3PPlDc,,NA,proposal,2024-05-04T19:08:51.206Z,,,Valentin DJENONTIN-AGOSSOU,0,0,1,bEbwmJy3xW8
Q9zvNfbRJOI,,NA,proposal,2024-05-04T19:08:51.222Z,,,Ludovic B,0,0,1,bEbwmJy3xW8
56ph-RTeZjw,,NA,proposal,2024-05-04T19:08:51.238Z,,,AILLEURS. ▸ reportages voyages,0,0,1,bEbwmJy3xW8
-wfVJsvnNLI,,NA,proposal,2024-05-04T19:08:51.292Z,,,Stoïk,0,0,1,bEbwmJy3xW8
Cvd_3_vxLuk,,NA,proposal,2024-05-04T19:08:51.424Z,,,beIN SPORTS France,0,0,1,bEbwmJy3xW8
efez1acxx50,,NA,proposal,2024-05-04T19:08:52.266Z,,,Tibo InShape,0,0,1,bEbwmJy3xW8
Pv0iVoSZzN8,,NA,proposal,2024-05-04T19:08:52.456Z,,,MrBeast,0,0,1,bEbwmJy3xW8
zPSwsjI4SBI,,NA,proposal,2024-05-04T19:08:52.512Z,,,Notre Éternité ,0,0,1,bEbwmJy3xW8
XiWN5Yk2Rug,,NA,proposal,2024-05-04T19:08:52.532Z,,,Immersion ▸ reportages et documentaires,0,0,1,bEbwmJy3xW8
m8BTmgep_1o,,NA,proposal,2024-05-04T19:08:52.548Z,,,Futcrunch,0,0,1,bEbwmJy3xW8
8MzJrg_tZXo,,NA,proposal,2024-05-04T19:08:52.573Z,,,Tibo InShape,0,0,1,bEbwmJy3xW8
3yz6kiv-FYc,,NA,proposal,2024-05-04T19:08:52.596Z,,,Tibo InShape,0,0,1,bEbwmJy3xW8
EazyBFJjquA,,NA,proposal,2024-05-04T19:08:52.624Z,,,Mosquee-Champs sur Marne,0,0,1,bEbwmJy3xW8
s5AiYBpYpkw,,NA,proposal,2024-05-04T19:08:52.643Z,,,Tibo InShape,0,0,1,bEbwmJy3xW8
LnBPyadyJl8,,NA,proposal,2024-05-04T19:08:52.661Z,,,ARTE,0,0,1,bEbwmJy3xW8
CsypIF2PxhU,,NA,proposal,2024-05-04T19:08:52.680Z,,,Henry Tran,0,0,1,bEbwmJy3xW8
Nzq4IdUeuY0,,NA,proposal,2024-05-04T19:08:52.711Z,,,LEGEND,0,0,1,bEbwmJy3xW8
mqBn7jJ_p08,,NA,proposal,2024-05-04T19:08:52.734Z,,,SQUEEZIE,0,0,1,bEbwmJy3xW8
QU33k2vaJ20,,NA,proposal,2024-05-04T19:08:52.759Z,,,Tibo InShape,0,0,1,bEbwmJy3xW8
SbU4oRFVtV4,,NA,proposal,2024-05-04T19:08:52.775Z,,,Investigations et Enquêtes,0,0,1,bEbwmJy3xW8
VS88Ufc3uiY,,NA,proposal,2024-05-04T19:08:52.796Z,,,VRADVI,0,0,1,bEbwmJy3xW8
bB62NNJdTOc,,NA,proposal,2024-05-04T19:08:52.815Z,,,Tibo InShape,0,0,1,bEbwmJy3xW8
l4H95gUtzZk,,NA,proposal,2024-05-04T19:08:52.832Z,,,Joe HaTTab,0,0,1,bEbwmJy3xW8
2fmfqEgFDv4,,NA,proposal,2024-05-04T19:08:52.851Z,,,Antoine vs Science - La science sur le terrain,0,0,1,bEbwmJy3xW8
TJJDDkQ0zzg,,NA,proposal,2024-05-04T19:08:52.874Z,,,Towards Eternity - Français,0,0,1,bEbwmJy3xW8
-RT4oD2s2go,,NA,proposal,2024-05-04T19:08:52.896Z,,,Tibo InShape,0,0,1,bEbwmJy3xW8
HwD4-_lgzq8,,NA,proposal,2024-05-04T19:08:52.917Z,,,LEGEND,0,0,1,bEbwmJy3xW8
60eVndD6SKk,,NA,proposal,2024-05-04T19:08:52.941Z,,,BFMTV,0,0,1,bEbwmJy3xW8
IMZ7La707gQ,,NA,proposal,2024-05-04T19:08:52.957Z,,,Claire,0,0,1,bEbwmJy3xW8
h0HjktaeEpA,,NA,proposal,2024-05-04T19:08:52.977Z,,,Nick DiGiovanni,0,0,1,bEbwmJy3xW8
_Vf0hbL5LZM,,NA,proposal,2024-05-04T19:08:53.019Z,,,Tibo InShape,0,0,1,bEbwmJy3xW8
0ge9t486-4E,,NA,proposal,2024-05-04T19:08:53.044Z,,,Islam Institut,0,0,1,bEbwmJy3xW8
AuU4aONHTQg,,NA,proposal,2024-05-04T19:08:53.107Z,,,Claire,0,0,1,bEbwmJy3xW8
B4rnWE0C3ns,,NA,proposal,2024-05-04T19:08:53.125Z,,,"BLAST, Le souffle de linfo",0,0,1,bEbwmJy3xW8
vvX-1zFjqAg,,NA,proposal,2024-05-04T19:08:53.146Z,,,RMCSport,0,0,1,bEbwmJy3xW8
45j6nGVKTxI,,NA,proposal,2024-05-04T19:08:53.170Z,,,Tibo InShape,0,0,1,bEbwmJy3xW8
vLXZYL4vA7A,,NA,proposal,2024-05-04T19:08:53.184Z,,,PELOKA,0,0,1,bEbwmJy3xW8
VAMVzhc-HuA,,NA,proposal,2024-05-04T19:08:53.204Z,,,SnakeThug - Brawl Stars,0,0,1,bEbwmJy3xW8
