url,title,author,type,insertionDate,refreshNB,watchTime,actionNB,videoViewsNB,parent_id
4Yc6hUVpoUU,"Monsieur Glucksmann, vous avez été bien accueilli ? Le billet de Daniel Morin 7h57",France Inter,regular,2024-05-08T15:20:15.668Z,,6000,0,1,
Nd0a19FYNUM,"
          
          
          
          
            On met les voiles avec Antoine - C à Vous - 07/05/2024
          
        ",C à vous,proposal,2024-05-08T15:20:16.265Z,,0,0,1,4Yc6hUVpoUU
wRWR0NNWMHo,"
          
          
          
          
            Rendez-vous en terre inconnue : bienvenue à lApple Store ! - Le billet de Daniel Morin
          
        ",France Inter,proposal,2024-05-08T15:20:18.165Z,,0,0,1,4Yc6hUVpoUU
i3mbpe-Jl3M,"
          
          
          
          
            Raphaël Glucksmann : On fait la même erreur avec Xi Jinping quavec Vladimir Poutine
          
        ",France Inter,proposal,2024-05-08T15:20:18.197Z,,0,0,1,4Yc6hUVpoUU
0JVO6mc1wX4,"
          
          
          
          
            Gaspard Proust - Chronique du 7 mai
          
        ",Europe 1,proposal,2024-05-08T15:20:18.213Z,,0,0,1,4Yc6hUVpoUU
k6krXMfjC8A,"
          
          
          
          
            Passion JO ! - Le billet de Daniel Morin 7h55
          
        ",France Inter,proposal,2024-05-08T15:20:18.461Z,,0,0,1,4Yc6hUVpoUU
3022K8yE6Y0,"
          
          
          
          
            Le résumé de Paris SG / Dortmund - Ligue des Champions 2023-24 (1/2 finale retour)
          
        ",CANAL+ Sport,proposal,2024-05-08T15:20:18.476Z,,0,0,1,4Yc6hUVpoUU
0gJ-g_YyW_g,"
          
          
          
          
            Sophia Aram : un discours politique aux Molières - C à Vous - 07/05/2024
          
        ",C à vous,proposal,2024-05-08T15:20:18.493Z,,0,0,1,4Yc6hUVpoUU
TmIVC9AGTuo,"
          
          
          
          
            Jordan Bardella : LEurope doit mettre fin à une forme de naïveté à légard de la mondialisation
          
        ",France Inter,proposal,2024-05-08T15:20:18.510Z,,0,0,1,4Yc6hUVpoUU
cesoPQEUoDk,"
          
          
          
          
            Comment booster les audiences selon Gaspard Proust ?
          
        ",Europe 1,proposal,2024-05-08T15:20:18.531Z,,0,0,1,4Yc6hUVpoUU
hVR2ixy_r_s,"
          
          
          
          
            GLUCKSMANN, CROQUE-MORT DU PS | STEFANO PALOMBARINI
          
        ",Le Média,proposal,2024-05-08T15:20:18.560Z,,0,0,1,4Yc6hUVpoUU
ClOGl60y8Ok,"
          
          
          
          
            Jean-Yves Le Drian dénonce un désastre et un massacre innommables à Rafah et Gaza
          
        ",France Inter,proposal,2024-05-08T15:20:18.597Z,,0,0,1,4Yc6hUVpoUU
LS9PrxmMsvk,"
          
          
          
          
            Robert Namias
          
        ",France Inter,proposal,2024-05-08T15:20:18.625Z,,0,0,1,4Yc6hUVpoUU
tBNVtauqS7U,"
          
          
          
          
            Hommage à Bernard Pivot
          
        ",France Inter,proposal,2024-05-08T15:20:18.649Z,,0,0,1,4Yc6hUVpoUU
mv3dTidYUNE,"
          
          
          
          
            PSG 0-1 Dortmund : Mbappé décevant dans le sprint final, tout le monde est responsable tacle Riolo
          
        ",RMCSport,proposal,2024-05-08T15:20:18.682Z,,0,0,1,4Yc6hUVpoUU
iBXEKivDWyc,"
          
          
          
          
            Raphaël Glucksmann, Député Européen et Essayiste - Une vie au service de lengagement
          
        ",InPower Podcast,proposal,2024-05-08T15:20:18.701Z,,0,0,1,4Yc6hUVpoUU
pq3D1d4bMu4,"
          
          
          
          
            Hondelatte raconte : Sur les traces dun officier SS (récit intégral)
          
        ",Europe 1,proposal,2024-05-08T15:20:18.718Z,,0,0,1,4Yc6hUVpoUU
QEZ5NdCKPkQ,"
          
          
          
          
            Panique chez les producteurs de camembert - Le billet de Daniel Morin
          
        ",France Inter,proposal,2024-05-08T15:20:18.740Z,,0,0,1,4Yc6hUVpoUU
q9GAahkTLME,"
          
          
          
          
            Mineurs délinquants, Russie, Sciences Po… lintégralité de linterview de Marine Le Pen
          
        ",BFMTV,proposal,2024-05-08T15:20:18.757Z,,0,0,1,4Yc6hUVpoUU
wLiFN_HQBW4,"
          
          
          
          
            Exfiltré d’un défilé du 1er mai, Raphaël Glucksmann réagit - C à Vous - 02/05/2024
          
        ",C à vous,proposal,2024-05-08T15:20:18.781Z,,0,0,1,4Yc6hUVpoUU
vCvcgYW_uvY,"
          
          
          
          
            Chassé du 1er-mai, Glucksmann a menti affirme Mathilde Panot
          
        ",franceinfo,proposal,2024-05-08T15:20:18.804Z,,0,0,1,4Yc6hUVpoUU
ghaGA3ZrvmU,"Le débat des européennes, avec Jordan Bardella et Raphaël Glucksmann",France Inter,regular,2024-05-08T15:20:29.812Z,,6000,1,2,
l4sgGLnIcwo,"
          
          
          
          
            Européennes: suivez le grand débat entre Jordan Bardella et Manuel Valls
          
        ",Le Figaro,proposal,2024-05-08T15:20:31.859Z,,0,1,2,ghaGA3ZrvmU
TmIVC9AGTuo,"
          
          
          
          
            Jordan Bardella : LEurope doit mettre fin à une forme de naïveté à légard de la mondialisation
          
        ",France Inter,proposal,2024-05-08T15:20:32.403Z,,0,1,2,ghaGA3ZrvmU
Z_gcqq9B_ec,"
          
          
          
          
            Élections européennes: le débat entre Raphaël Glucksmann et François-Xavier Bellamy en intégralité
          
        ",BFMTV,proposal,2024-05-08T15:20:32.425Z,,0,1,2,ghaGA3ZrvmU
tkFAzDwQGus,"
          
          
          
          
            Élections européennes : le débat entre Marion Maréchal (Reconquête) et Valérie Hayer (Renaissance)
          
        ",Europe 1,proposal,2024-05-08T15:20:32.454Z,,0,1,2,ghaGA3ZrvmU
70_vcb0EQtk,"
          
          
          
          
            🔴 DIRECT - Lintégrale de linterview de Jordan Bardella, président du RN, sur RMC
          
        ",RMC,proposal,2024-05-08T15:20:32.476Z,,0,1,2,ghaGA3ZrvmU
