url,title,author,type,insertionDate,refreshNB,watchTime,actionNB,videoViewsNB,parent_id
wzGgpUSi6sU,Quel président ? François-Xavier Bellamy répond,EP République,regular,2024-05-11T19:02:16.539Z,,180000,0,1,
oqY0yIUXIlY,"
          
          
          
          
            François-Xavier Bellamy invité dans « Le Grand RDV » Europe1-CNEWS-Les Échos
          
        ",François-Xavier Bellamy,proposal,2024-05-11T19:02:17.196Z,,0,0,1,wzGgpUSi6sU
PrGEgiF6cDw,"
          
          
          
          
            🔴 FX BELLAMY RÉPOND EN DIRECT
          
        ",François-Xavier Bellamy,proposal,2024-05-11T19:02:17.245Z,,0,0,1,wzGgpUSi6sU
6msdAoHSzdE,"
          
          
          
          
            François-Xavier Bellamy : Le président se réfugie dans les questions de société pour faire lactu
          
        ",Europe 1,proposal,2024-05-11T19:02:17.252Z,,0,0,1,wzGgpUSi6sU
j0KlbHDWiks,"
          
          
          
          
            Le Grand Jury des Auditeurs de RTL : François-Xavier Bellamy
          
        ",RTL  ,proposal,2024-05-11T19:02:17.259Z,,0,0,1,wzGgpUSi6sU
tFjcg8_s1f4,"
          
          
          
          
            François-Xavier Bellamy, le FBI et les Chinois - Le Billet de Charline dans le 7/10
          
        ",France Inter,proposal,2024-05-11T19:02:17.265Z,,0,0,1,wzGgpUSi6sU
zgGjaGHFIYA,"
          
          
          
          
            François-Xavier Bellamy : Quelles sont les qualités de Gabriel Attal pour entrer à Matignon ?
          
        ",Europe 1,proposal,2024-05-11T19:02:17.271Z,,0,0,1,wzGgpUSi6sU
lIAqJ9xEiFk,"
          
          
          
          
            François-Xavier Bellamy, le rêve de revanche d’un « faux gentil »
          
        ",Le Point,proposal,2024-05-11T19:02:17.278Z,,0,0,1,wzGgpUSi6sU
pigP5iGnjnY,"
          
          
          
          
            Le Hamas annonce la mort dun otage israélien dont une vidéo vient dêtre diffusée • FRANCE 24
          
        ",FRANCE 24,proposal,2024-05-11T19:02:17.283Z,,0,0,1,wzGgpUSi6sU
_xaQo86CyDE,"
          
          
          
          
            Échanges tendus entre Louis Boyard et François-Xavier Bellamy (7 mai 2024, Paris, France) [4K]
          
        ",CLPRESS / Agence de presse,proposal,2024-05-11T19:02:17.291Z,,0,0,1,wzGgpUSi6sU
