url,title,author,type,insertionDate,refreshNB,watchTime,actionNB,videoViewsNB,parent_id
i3mbpe-Jl3M,Raphaël Glucksmann : On fait la même erreur avec Xi Jinping quavec Vladimir Poutine,France Inter,regular,2024-05-09T04:14:22.737Z,,180000,0,1,
TmIVC9AGTuo,"
          
          
          
          
            Jordan Bardella : LEurope doit mettre fin à une forme de naïveté à légard de la mondialisation
          
        ",France Inter,proposal,2024-05-09T04:14:23.344Z,,0,0,1,i3mbpe-Jl3M
vPY715WtPlc,"
          
          
          
          
            Clémence Guetté dénonce le climat actuel de censure et de répression
          
        ",France Inter,proposal,2024-05-09T04:14:24.129Z,,0,0,1,i3mbpe-Jl3M
lP-Jkmekuzg,"
          
          
          
          
            Un soldat américain aux mains de Poutine
          
        ",LCI,proposal,2024-05-09T04:14:24.422Z,,0,0,1,i3mbpe-Jl3M
vdS2BYVsPv8,"
          
          
          
          
            Éric Zemmour lève la main sur une femme à Ajaccio : Cest de la légitime défense (Sarah Knafo)
          
        ",Europe 1,proposal,2024-05-09T04:14:24.437Z,,0,0,1,i3mbpe-Jl3M
UDooQ8uFRvo,"
          
          
          
          
            [MARCHÉ DE LARMEMENT] Comment la France a dépassé la Russie
          
        ",Xavier Tytelman,proposal,2024-05-09T04:14:24.452Z,,0,0,1,i3mbpe-Jl3M
LwNpZ9Lw7Yk,"
          
          
          
          
            Le président chinois Xi Jinping en France : Il ne faut pas le traiter en ami.
          
        ",RTL  ,proposal,2024-05-09T04:14:24.463Z,,0,0,1,i3mbpe-Jl3M
wLiFN_HQBW4,"
          
          
          
          
            Exfiltré d’un défilé du 1er mai, Raphaël Glucksmann réagit - C à Vous - 02/05/2024
          
        ",C à vous,proposal,2024-05-09T04:14:24.478Z,,0,0,1,i3mbpe-Jl3M
hRp8Zn78enY,"
          
          
          
          
            Hervé Machenaud (EDF) : Xi Jinping en France, les enjeux
          
        ",BFM Business,proposal,2024-05-09T04:14:24.490Z,,0,0,1,i3mbpe-Jl3M
7khQBoQWROQ,"
          
          
          
          
            Que peut-on attendre de la visite du président chinois en France ?
          
        ",France Inter,proposal,2024-05-09T04:14:24.503Z,,0,0,1,i3mbpe-Jl3M
q9GAahkTLME,"
          
          
          
          
            Mineurs délinquants, Russie, Sciences Po… lintégralité de linterview de Marine Le Pen
          
        ",BFMTV,proposal,2024-05-09T04:14:24.516Z,,0,0,1,i3mbpe-Jl3M
I88bx3QEzIc,"
          
          
          
          
            Présidentielle américaine : à six mois du scrutin, Joe Biden et Donald Trump sont au coude-à-coude
          
        ",FRANCE 24,proposal,2024-05-09T04:14:24.529Z,,0,0,1,i3mbpe-Jl3M
L0NsVrmdvGo,"
          
          
          
          
            Général Michel Yakovleff : Poutine sest engagé dans une guerre qui ne va pas bien pour lui
          
        ",LCI,proposal,2024-05-09T04:14:24.542Z,,0,0,1,i3mbpe-Jl3M
j3T807J0KvY,"
          
          
          
          
            Xi Jinping en France : ce nest pas sûr que cette visite soit utile
          
        ",franceinfo,proposal,2024-05-09T04:14:24.556Z,,0,0,1,i3mbpe-Jl3M
Vx3KVIGeML8,"
          
          
          
          
            Attentat déjoué : comment le FSB voulait tuer Zelensky
          
        ",LCI,proposal,2024-05-09T04:14:24.570Z,,0,0,1,i3mbpe-Jl3M
4S8yyE43eWc,"
          
          
          
          
            Raphaël Glucksmann passe son Grand Oral des européennes à lUniversité Libé
          
        ",Libération,proposal,2024-05-09T04:14:24.581Z,,0,0,1,i3mbpe-Jl3M
-bSjSilZsR8,"
          
          
          
          
            Doze déconomie : Chine-France... cognac 1, voiture 0
          
        ",BFM Business,proposal,2024-05-09T04:14:24.592Z,,0,0,1,i3mbpe-Jl3M
pa_HkUeLYN4,"
          
          
          
          
            Le moment Aymeurice - Le Moment Meurice
          
        ",France Inter,proposal,2024-05-09T04:14:24.607Z,,0,0,1,i3mbpe-Jl3M
2237v_tTvsQ,"
          
          
          
          
            International : que pèse encore la France ?
          
        ",Public Sénat,proposal,2024-05-09T04:14:24.620Z,,0,0,1,i3mbpe-Jl3M
gQ0eYRXivkw,"
          
          
          
          
            LEurope en surchauffe - Vivre avec les canicules | ARTE
          
        ",ARTE,proposal,2024-05-09T04:14:24.631Z,,0,0,1,i3mbpe-Jl3M
sa3YEpWA5Pg,"
          
          
          
          
            Chine : le retour de Xi Jinping en Europe • RFI
          
        ",RFI,proposal,2024-05-09T04:14:24.649Z,,0,0,1,i3mbpe-Jl3M
LwNpZ9Lw7Yk,Le président chinois Xi Jinping en France : Il ne faut pas le traiter en ami.,RTL  ,regular,2024-05-09T04:17:29.675Z,,180000,1,2,
2237v_tTvsQ,"
          
          
          
          
            International : que pèse encore la France ?
          
        ",Public Sénat,proposal,2024-05-09T04:17:30.440Z,,0,1,2,LwNpZ9Lw7Yk
kmoQjxW9CsM,"
          
          
          
          
            Quel avenir pour Lion électrique? | Zone économie
          
        ",Radio-Canada Info,proposal,2024-05-09T04:17:31.265Z,,0,1,2,LwNpZ9Lw7Yk
